Conversation	Speaker	Transcript
Spoken_1	Clerk	" Hello, this is Domino.s. Xena speaking"
Spoken_1	User	"Hey um can I get a large pizza, no cheese, diced tomatoes, and spinach?"
Spoken_1	Clerk	" Alright, and would you like any sides with that?"
Spoken_1	User	Oh um. no
Spoken_1	Clerk	" Okay, any drink?"
Spoken_1	User	"Yeah, yeah, um can I get a...d-do you have the 2-liter bottles?"
Spoken_1	Clerk	 Oh we.re actually out of those today. We only have our fountain we can give you guys
Spoken_1	User	Okay okay um...let me do a medium coke
Spoken_1	Clerk	" Alright medium coke and then to repeat your pizza order, you want a large pizza with no cheese, diced tomato, and kale?"
Spoken_1	User	Spinach
Spoken_1	Clerk	" Spinach instead of kale, ok"
Spoken_1	User	You know what if you have kale we can do both
Spoken_1	Clerk	" Alright let me double check and make sure...alright, it looks like we do have kale so you.ll get a large pizza with no cheese, diced tomatoes, spinach, and kale and then a medium coke for your drink"
Spoken_1	User	"Amazing, perfect"
Spoken_1	Clerk	"Alright, that will come to $20.07"
Spoken_1	User	"Perfect, let me give you my card...um that.s gonna be -- the number is um 1024"
Spoken_1	Clerk	 Mhm
Spoken_1	User	Um and the code is 782...the expiration is 12/89
Spoken_1	Clerk	 And what.s your name?
Spoken_1	User	John Doe
Spoken_1	Clerk	"Alright John, just to repeat -- your card number is 1024, your code is 782, expiration is 12/89, right, and is there anything else I can get for you today?"
Spoken_1	User	"That is it, thank you"
Spoken_1	Clerk	 Alright and what address are we delivering this to?
Spoken_1	User	"Oh, um"
Spoken_1	Clerk	 Or are you coming in for pickup?
Spoken_1	User	I.ll come in for pickup
Spoken_1	Clerk	"Alright, so it should be ready in 20 to 30 minutes"
Spoken_1	User	"Okay great, thank you"
Spoken_1	Clerk	" Alright! You have a great day, thanks for calling Domino.s, have a great day."
Spoken_1	User	You too.
Spoken_2	Clerk	" Hey um this is Papa John.s, uh, what can I get for ya"
Spoken_2	User	"Hi I would- want to order a pizza, uh actually three pizzas, ummm"
Spoken_2	Clerk	 Okay
Spoken_2	User	"I think I want, uh, how- what size pizza should I get if I wanna get three pizzas for like, ten people? What do you think?"
Spoken_2	Clerk	 Okay
Spoken_2	User	Three larges?
Spoken_2	Clerk	" Ten people, three pizzas. How hungry are y.all?"
Spoken_2	User	"Um, we.re pretty hungry.so. I don.t know."
Spoken_2	Clerk	" Okay, go- go for the large! Go for the large. Yeah, let.s do that. Okay, so, three large pizzas, what do you want on .em?"
Spoken_2	User	"Ummmm hang on let me ask. Okay I think . we want cheese, a cheese pizza, and a uh half pepperoni half mushroom?"
Spoken_2	Clerk	 Okay
Spoken_2	User	Sorry half pepperoni half sausage
Spoken_2	Clerk	 okay pepper- pepperoni on one half sausage on the other
Spoken_2	User	Yeah for the second pizza and then. uh a mushroom and uh spinach? And feta? Do you have that?
Spoken_2	Clerk	" I think so um. yes, yeah we have feta. Okay mushroom, feta,"
Spoken_2	User	And spinach
Spoken_2	Clerk	" And spinach. Gotcha, okay."
Spoken_2	User	Awesome
Spoken_2	Clerk	 Great
Spoken_2	User	Um
Spoken_2	Clerk	 Um
Spoken_2	User	"So for the cheese pizza, um, can you do extra cheese like a lot of extra cheese?"
Spoken_2	Clerk	" Yes. Okay extra we can do extra do you want like just normal cheese, do you want the the four cheese uh"
Spoken_2	User	"Four cheese, four cheese"
Spoken_2	Clerk	" Ok great so four cheese, heavy on the cheese,"
Spoken_2	User	Yeah
Spoken_2	Clerk	 Great
Spoken_2	User	"Do you guys also have, um brownies? They.re asking for brownies."
Spoken_2	User	Ummm might as well go large
Spoken_2	Clerk	" Okay, great. Um, anything else, any drinks?"
Spoken_2	User	"Can I get uh, Dr. Pepper. and. a Sprite"
Spoken_2	Clerk	" Yeah, and what size do you want on those?"
Spoken_2	User	The two-liter bottles? Do you have them?
Spoken_2	Clerk	" Yes, you bet. Okay."
Spoken_2	User	"Do you give, um, cups and napkins, too?"
Spoken_2	Clerk	"Yeah, yeah I can do that. Um, yeah, that.ll be . we can give you, for 50 cents, we can give you, um, all of the spare cups you need."
Spoken_2	User	"Okay, think we.re gonna need . ten should be good if you have like a set of ten"
Spoken_2	Clerk	 Yeah
Spoken_2	User	And then a bunch of napkins
Spoken_2	Clerk	 tons of napkins gotcha
Spoken_2	User	and do you also have those little packets with the uh Italian herb
Spoken_2	Clerk	" Yeah! We, we put those in every order. Yeah, you.re good."
Spoken_2	User	"Okay thank you. Alright, um, think that.s it"
Spoken_2	Clerk	" Cool so that.s a large four cheese pizza extra cheese, um a large pizza pepperoni on one half sausage on the other half. A large pizza with mushrooms, spinach, and feta a large brown thaties two liter Dr. Pepper two liter sprite and, uh, that is, does that sound correct?"
Spoken_2	User	"Uh, also cups and napkins"
Spoken_2	User	"Yes. So, card number is zero zero zero two,"
Spoken_2	Clerk	 Okay
Spoken_2	User	And then expiration date is zero one one three
Spoken_2	Clerk	 All right
Spoken_2	User	And the name for it is. Melanie
Spoken_2	Clerk	 Okay and can I get the billing zip code on that?
Spoken_2	User	"Oh, billing zip code."
Spoken_2	Clerk	 Is it the same as delivery?
Spoken_2	User	Yeah
Spoken_2	Clerk	 Great
Spoken_2	User	33123
Spoken_2	Clerk	"Okay so that.s card number zero zero zero two, expiration zero one thirteen, uh, card name is Melanie and the billing zip code is 33123"
Spoken_2	User	Yes yeah that.s right
Spoken_2	Clerk	" Great. Okay! Uh,"
Spoken_2	User	Do you know how long that should take?
Spoken_2	Clerk	" Yeah so um, it, I think that.s going to take, we.re going to get it ready for you in about twenty minutes and it.ll take another twenty minutes for us to get that out to you, and you can follow along on our online tracking system."
Spoken_2	User	Oh cool okay
Spoken_2	Clerk	 So can I get an email to send the information to you?
Spoken_2	User	"Um, it.s m e l a n i e e e at email dot com."
Spoken_2	Clerk	 Great. M e l a n i e e e at email dot com?
Spoken_2	User	Yep
Spoken_2	Clerk	"Cool, So you will be getting your large four cheese large pepperoni sausage large mushroom feta spinach large brownies, Dr. Pepper, Sprite, cups, napkins to 1200 Crystal Ave Seattle in forty minutes!"
Spoken_2	User	Ok awesome thank you
Spoken_2	Clerk	 Great thank you
Spoken_3	Clerk	" Hi this is Domino.s, what can I get you today?"
Spoken_3	User	"Hi, do you--can I--can I get a small pizza, just cheese. And is your sauce like a flavorful--do you have like a spicy sauce and a super plain sauce like just tomato"
Spoken_3	Clerk	 We only have our signature tomato sauce
Spoken_3	User	"Ok, um, if you could just um...let.s do that cheese but if you put on any other herbs or spices, like if there.s like a parsley sprinkle or anything, I need you to leave it off -- just as plain as possible"
Spoken_3	Clerk	" Um, we can do that, we can do that"
Spoken_3	User	"Great, thank you"
Spoken_3	Clerk	" Alright! Um, do you want a drink? Or any sides?"
Spoken_3	User	"[aside] Hey, do you want...do you wanna get a lemonade, do you want milk -- [phone] Do you have milk?"
Spoken_3	Clerk	" Milk? Um, sorry, we don.t serve milk"
Spoken_3	User	"[aside] Ok...ok...no you can.t have, no [phone] Let.s do--let.s do a small lemonade"
Spoken_3	Clerk	 Small lemonade...fountain drink?
Spoken_3	User	Yes
Spoken_3	Clerk	 Alright! Any sides for you today?
Spoken_3	User	"No um can I - can I also get, um, a medium hawaiian pizza?"
Spoken_3	Clerk	 Um actually sorry ma.am we.re out of our pineapples today so we won.t be able to --
Spoken_3	User	Oh
Spoken_3	Clerk	 --make the Hawaiian
Spoken_3	User	"Ok, um...oh god, ok"
Spoken_3	Clerk	" Um, can I interest you in our experimental mandarin?"
Spoken_3	User	"Sure, sure let.s do that"
Spoken_3	Clerk	" So it.s just like a Hawaiian, but it has mandarin oranges instead"
Spoken_3	User	"Perfect. Perfect, let.s do it"
Spoken_3	Clerk	 Alright anything else I can get for you today ma.am?
Spoken_3	User	"I think that.s it, alright, yeah"
Spoken_3	Clerk	 Ok! So is this for pickup or delivery?
Spoken_3	User	Delivery
Spoken_3	Clerk	 And can I get the delivery address?
Spoken_3	User	"Yeah um it.s 321 6th avenue northeast, um, Seattle, Washington, 00000"
Spoken_3	Clerk	" Alright, so just to repeat your order that.ll be a small um extra plain cheese pizza with absolutely no herbs or spices added in"
Spoken_3	User	Yes
Spoken_3	Clerk	 a small fountain drink -- Lemonade
