Intent	Sentence
CONFIRM	that would be great yes ,
ADD_MODALITY	let 's go with <modality> pick up </modality>
UNDEFINED	hey , how 's it going ?
MAKE_PIZZA	i 'd like to order a <pizza_type> pepperoni </pizza_type> , please
MAKE_PIZZA	hello , i 'll have a <size> small </size> <pizza_type> pepperoni </pizza_type> , please
THANK	awesome thanks
MAKE_PIZZA	i 'll get a <size> large </size> <pizza_type> hawaiian </pizza_type> , please
ADD_MODALITY	let 's go with <modality> pick up </modality> , please
MAKE_PIZZA	i 'll get a uhh <quant> 10 </quant> <size> inch </size> <pizza_type> hawaiian </pizza_type>
MAKE_PIZZA	can i order a <size> 12 inch </size> <pizza_type> veggie </pizza_type> , please
THANK	great thank you
MAKE_PIZZA	hello , can i get a <pizza_type> 4 </pizza_type> cheeses ?
MAKE_PIZZA	give me a <pizza_type> hawaiian </pizza_type> , please . make it <size> medium </size>
ADD_MODALITY	yes , <modality> take out </modality> sounds good
ADD_PERSONAL	it is <name> 519-555-5567 </name>
ADD_MODALITY	please make it <modality> pick up </modality>
MAKE_PIZZA	i 'd like to order a <pizza_type> pepperoni </pizza_type> . make it <size> 14 inch </size>
ADD_MODALITY	let 's go with <modality> take-out </modality> from your fall city store , please
MAKE_PIZZA	i 'll order a uhm 4 cheeses on <crust> regular </crust> . make it <size> 12 inch </size>
ADD_PERSONAL	use <name> rahul </name>
ORDER_PREFERRED	could i reorder my most recent order , please
ORDER_PREFERRED	may i reorder my most recent order , please
ORDER_PREFERRED	please place another order for my most frequent pizza
ORDER_PREFERRED	can i get my previous pizza again
THANK	awesome thank you
CHECK_ORDER_STATUS	can you tell me where 's my pizza order ?
MAKE_PIZZA	i need a <size> 12 inch </size> <pizza_type> vegan </pizza_type> , please
INFORM	<modality> delivery </modality> would be great , please
GREET	hello ,
CONFIRM	yeah , , please
THANK	terrific thank you
ADD_MODALITY	yeah , how about <modality> take out </modality>
ADD_MODALITY	let 's go with <modality> take-out </modality>
ADD_PERSONAL	it 's <number> 519-555-0021 </number>
MAKE_PIZZA	i 'd like a uh ... <size> medium </size> <pizza_type> veggie supreme </pizza_type> , please
MAKE_PIZZA	i 'd like to get a <pizza_type> pepperoni </pizza_type> on <crust> thin </crust> crust
ADD_MODALITY	yes , how about <modality> delivery </modality>
ADD_PERSONAL	206-555-1230
CHECK_ORDER_STATUS	how long until my pizza order arrives ?
UPDATE_ATTRIBUTE	actually , can you , please make it a <size> 12 inch </size>
GREET	hello ,
THANK	awesome thanks
ORDER_PREFERRED	i 'd like to place an order for my favorite pizza order
DENY	no , i 'd like to change something
MAKE_PIZZA	i need a <size> 12 inch </size> <pizza_type> 4 </pizza_type> cheeses , please
ORDER_PREFERRED	could i order my previous pizza order again
DENY	nope
ORDER_PREFERRED	place another order for my most recent pizza again
ORDER_PREFERRED	please place an order for my most frequent order
MAKE_PIZZA	hey , how 's it going ? i 'll have a <pizza_type> 4 cheese </pizza_type> , please
ADD_MODALITY	<modality> delivery </modality> , please
ORDER_PREFERRED	i 'd like to get my most frequent again , please
ADD_PERSONAL	it is <name> 519-555-1927 </name>
ORDER_PREFERRED	reorder my previous pizza again
ORDER_PREFERRED	may i reorder my favorite order again , please
THANK	thanks
CONFIRM	, please yeah ,
DENY	no
ORDER_PREFERRED	may i place another order for my preferred pizza again
MAKE_PIZZA	hi , may i get a <size> medium </size> <pizza_type> meat lovers </pizza_type> , please
MAKE_PIZZA	i 'll order a <pizza_type> pepperoni </pizza_type> on <crust> regular </crust> crust . make it <size> large </size> , please
GREET	hey , how 's it going ?
ORDER_PREFERRED	may i order my previous pizza , please
CONFIRM	absolutely yeah ,
ADD_MODALITY	<modality> take-out </modality> will be great , please
ORDER_PREFERRED	may i reorder my most frequent order
THANK	great thank you
ADD_MODALITY	yep , let 's go with <modality> delivery </modality>
MAKE_PIZZA	hello , can i get a <pizza_type> 4 cheese </pizza_type> ?
MAKE_PIZZA	i 'd like to get a <size> 14 inch </size> <pizza_type> meat lovers </pizza_type>
ORDER_PREFERRED	reorder my most frequent pizza order again
ADD_MODALITY	yep , let 's go with <modality> pick up </modality> , please
ADD_MODALITY	make it <modality> take out </modality> , please
CHECK_ORDER_STATUS	how long until i get my pizza order ?
MAKE_PIZZA	can i get a uhh ... <size> large </size> no dairy no meat special , please
CONFIRM	yep , perfect
ADD_MODALITY	yeah , let 's go with <modality> take out </modality> , please
DENY	nope , i 'd like to change something
CONFIRM	yes , perfect
ORDER_PREFERRED	i 'd like to place another order for my previous pizza again , please
MAKE_PIZZA	hello , can i get a <pizza_type> veggie supreme </pizza_type> , please ?
CONFIRM	that would be great yep ,
ADD_PERSONAL	it 's <name> david </name>
GREET	hey , how 's it going ?
ORDER_PREFERRED	could i reorder my most recent order , please
ORDER_PREFERRED	reorder my favorite pizza
ADD_MODALITY	<modality> take-out </modality> would be great , please
ADD_PERSONAL	206-555-5677
ADD_MODALITY	yes , take-out sounds good
ORDER_PREFERRED	reorder my most recent order
CHECK_ORDER_STATUS	how long until my pizza order is ready ?
MAKE_PIZZA	hey , how 's it going ? may i get a <size> medium </size> <pizza_type> hawaiian </pizza_type> , please
CONFIRM	that would be great yes ,
ADD_MODALITY	yes , <modality> delivery </modality> would be great , please
ADD_PERSONAL	it 's <name> eva </name> , please
ADD_MODALITY	yep , take-out , please
UPDATE_ATTRIBUTE	can i get a different kind of crust
MAKE_PIZZA	i 'd like a <pizza_type> 4 cheese </pizza_type> on <crust> thin </crust> , please . make it <size> medium </size>
MAKE_PIZZA	can i get a <pizza_type> veggie supreme </pizza_type> on <crust> thin </crust> crust , please . make it <size> 14 inch </size>
GREET	hi ,
