	Conversation	Speaker	Transcript
0	Spoken_1	Clerk	Hello thanks for calling Pizza Hut how can I help you
1	Spoken_1	User	hello i ’ d like to order a pizza please
2	Spoken_1	Clerk	will that be for <modality> pick up </modality> or delivery sir
3	Spoken_1	User	forrr pickup please
4	Spoken_1	Clerk	sure what can i get you
5	Spoken_1	User	i ’ d like a <size> large </size> <pizza_type> pepperoni </pizza_type> pizza . Half with <topping> pineapple </topping> and half with <quant> no </quant> <topping> pineapple </topping>
6	Spoken_1	Clerk	ok you want a <size> large </size> <pizza_type> pepperoni </pizza_type> pizza with <topping> half pineapple </topping>
7	Spoken_1	User	nooo i think that ’ s it .
8	Spoken_1	Clerk	alright that ’ ll be $ 10 and it will be ready in about <time> 30 minutes </time>
9	Spoken_1	User	okay great . Thank you !
10	Spoken_2	Clerk	hello this is pizza hut how can i help you
11	Spoken_2	User	hey there . I ’ d like to order three pizzas please ?
12	Spoken_2	Clerk	uh sure go ahead
13	Spoken_2	User	okay . We want the <pizza_type> hawaiian </pizza_type> chicken pizza , medium . The backyard bbq pizza also medium . And then the chicken <topping> bacon </topping> parmesan pizza as a <size> small </size> .
14	Spoken_2	Clerk	ok great so i have a <pizza_type> hawaiian </pizza_type> chicken pizza and backyard bbq pizza medium size and and a <pizza_type> chicken bacon </pizza_type> in a <size> small </size>
15	Spoken_2	User	was that a <pizza_type> chicken bacon </pizza_type> parmesan as a <size> small </size> ?
16	Spoken_2	Clerk	yes sir
17	Spoken_2	User	okay great , that sounds perfect .
18	Spoken_2	Clerk	will that be for <modality> pick up </modality> or delivery today
19	Spoken_2	User	<modality> delivery </modality> please .
20	Spoken_2	Clerk	can i get an address
21	Spoken_2	User	uhm yes . 3629846 chicken way ?
22	Spoken_2	Clerk	and would you like to pay over the phone or in person
23	Spoken_2	User	in person , if that ’ s alright with you .
24	Spoken_2	Clerk	alright sir that will be thirty five dollars and it should be ready in <time> 45 minutes </time> or less
25	Spoken_2	User	sounds great ! Thank you so much
26	Spoken_3	Clerk	welcome to pizza hut what can i do for ya
27	Spoken_3	User	hello i would like <quant> one </quant> <size> large </size> <pizza_type> cheese </pizza_type> pizza please . And i want no sauce on one half .
28	Spoken_3	Clerk	ok so that ’ s a <size> large </size> <pizza_type> cheese </pizza_type> pizza but no sauce at all on one half
29	Spoken_3	User	yes , that ’ s correct . No sauce on one half
30	Spoken_3	Clerk	ok would you like anything else
31	Spoken_3	User	let me think… no .
32	Spoken_3	Clerk	if you like cheese can i interest you in upgrading to our stuffed crust pizza for only <address> one dollar ninety nine more </address>
33	Spoken_3	User	well i do like cheese… okay you ’ ve convinced me . Make it a stuffed crust .
34	Spoken_3	Clerk	excellent choice sir that will be <address> eleven ninety nine </address>
35	Spoken_3	User	wonderful ! Do you take american express ?
36	Spoken_3	Clerk	uh yes
37	Spoken_3	User	great , here you go .
38	Spoken_3	Clerk	aright that should be ready in about twenty minutes can i get a name for the order
39	Spoken_3	User	my name is reginald .
40	Spoken_3	Clerk	fantastic name i ’ ll have that out for you in a bit reginald please take a seat
41	Spoken_3	User	thank you very much .
42	Spoken_4	Clerk	hello , welcome to pizza hut what can i do for you ?
43	Spoken_4	User	yeah i ’ d like to order some food for takeout
44	Spoken_4	Clerk	ooookay , good . What can i get for you ?
45	Spoken_4	User	uh i see that you have a dinner box and a big dinner box . How many people will the big dinner box feed ?
46	Spoken_4	Clerk	uhhhh the big dinner box usually feeds four to five people . But the <crust> regular </crust> dinner box is good for about 2 people .
47	Spoken_4	User	ok there ’ s two of us but we ’ re very hungry so we ’ ll have the big dinner box
48	Spoken_4	Clerk	ookay can i get anything to drink for you guys ?
49	Spoken_4	User	can i get <quant> two </quant> of your largest mountain dews
50	Spoken_4	Clerk	sure thing . And will this be -uhhh- nevermind . That will be… uhm… nineteen ninety nine .
51	Spoken_4	User	ok here ’ s twenty in cash keep the change
52	Spoken_4	Clerk	wow ! Thank you so much ! That ’ ll be ready innn twenty minutes .
53	Spoken_4	User	great thanks a lot
