Intent	Sentence
GREET	 ring ring 
MAKE_PIZZA	"i want to order a uh <pizza_type>4 cheese</pizza_type>, please"
DENY	no, i'd like to change something
THANK	" great, thanks so much "
CONFIRM	Ok, um...oh god, ok
CONFIRM	Mhm
REQUEST_LISTING	great do you have any thing to drink as well
ADD_MODALITY	yeah, <modality>delivery</modality> will be great, please
MAKE_PIZZA	Gotcha. Can I get a <size>large</size> <pizza_type>cheese</pizza_type> pizza with <topping>green peppers</topping>?
ADD_TO_ORDER	Add a <size>16oz</size> <beverage>coke</beverage> please
INFORM	 A two liter <beverage>coke</beverage> and <beverage>sprite</beverage>? 
UNDEFINED	" I'm sorry, I'm gonna try calling you back, it still sounds like static"
UPDATE_PERSONAL	it's <name>danko</name> wait <name>danko black</name>
MAKE_PIZZA	i'd like a <size>12 inch</size> <pizza_type>hawaiian</pizza_type> on <crust>regular</crust>
CONFIRM	that'd be great
END_ORDERING	Perfect. That’ll be all.
GREET	Hello?
ADD_ATTRIBUTE	I.ll take a <size>medium</size>
ADD_MODALITY	I.ll come in for <modality>pickup</modality>
MAKE_PIZZA	"Okay, this is okay so you have <quant>six</quant> specialty pizzas, but that was not the most popular. The most popular are just plain. So I think I'm going to get <quant>one</quant> <pizza_type>vegan</pizza_type>, <quant>two</quant> <pizza_type>pepperoni</pizza_type>, um...hmm, I don't know. Should I get a <pizza_type>plain</pizza_type> pizza with <topping>pineapple</topping>, or should I get the <pizza_type>Hawaiian</pizza_type> pizza? It's, it's just so hard to know what what's gonna work for <quant>50</quant> people"
ADD_ATTRIBUTE	also <size>small</size>
ADD_ATTRIBUTE	Okay, can I get the <crust>regular</crust> please?
MAKE_PIZZA	hello, i'd like a <pizza_type>4 cheese</pizza_type>
DENY	"nope, i'd like to change something"
GREET	 ring ring 
ADD_MODALITY	 Uhh <modality>delivery</modality>.
ADD_PERSONAL	it's <number>425-555-1276</number>
REQUEST	Can you repeat the order back to me?<
CHECK_ORDER_STATUS	how far away is my pizza order ?
THANK	Okay, thank you.
REQUEST	Um hi is this the pizza on <address>12345 St</address>?
UNDEFINED	" Hi, I just called about <quant>three</quant> <size>medium</size> pizzas? "
UNDEFINED	"Yeah, I’ll be right over."
UPDATE_ATTRIBUTE	Ok, um, if you could just um...let.s do that <pizza_type>cheese</pizza_type> but if you put on any other herbs or spices, like if there.s like a <topping>parsley</topping> sprinkle or anything, I need you to leave it off -- just as plain as possible
GREET	 ring ring 
UPDATE_PERSONAL	"Oh it's ah, <address>98103</address> and it's actually <address>Green *lake* avenue</address>."
DEPART	Bye.
CONFIRM	That’s it
CONFIRM	Oh cool okay
MAKE_PIZZA	 Hi! I want a <size>small</size> <pizza_type>two topping</pizza_type> pizza -- <topping>pepperoni</topping> and <topping>sausage</topping> -- and a <size>medium</size> dr pepper if you have it 
ADD_MODALITY	"yeah, let's go with <modality>take out</modality>"<
DENY	nope, i'd like to change something
GREET	hello,
THANK	amazing thanks
ADD_MODALITY	Hi! Could I order for <modality>delivery</modality> to <addreess>567 12 Street North</addreess>?
INFORM	"<numeric>Twenty-five</numeric> percent, um, unless you pay ahead of time."
ADD_MODALITY	"<modality>take out</modality> would be great, please"
DENY	No thank you
ADD_PAYMENT_ATTRIBUTE	Wanted to make sure. Two orders of <side>garlic bread</side>, um, my card information is, uh <numeric>1234</numeric>
CONFIRM	Okay
ADD_MODALITY	Okay! Let's do the <store>50th street</store> one?
CHECK_ORDER_STATUS	please get my pizza order
DENY	no, i'd like to change something
ADD_PAYMENT_ATTRIBUTE	Um and the code is <numeric>782</numeric>…the expiration is <numeric>12/89</numeric>
DEPART	Okay thank you bye
THANK	"Okay, thank you!"
ADD_PERSONAL	use <name>vipul</name>
CHECK_ORDER_STATUS	how much longer until my order is ready?
UNDEFINED	" I'm sorry there's like static over your voice, let me try moving to another room"
ORDER_PREFERRED	please order my previous pizza
REQUEST_LISTING	 Do you have <side>breadsticks</side>? 
REQUEST	"Hi! Yes, sorry about that. I’m looking for a heavy <topping_type>meat</topping_type> option, do you have anything that might work for me?"
UPDATE_PAYMENT_ATTRIBUTE	And then the, uh, the expiration date is <numeric>07/11</numeric>
CHECK_ORDER_STATUS	can you, please look up the status of my order?
ADD_PAYMENT_ATTRIBUTE	Oh the code is <numeric>111</numeric><
ADD_ATTRIBUTE	Yeah. Oh, sorry, can I also get the <topping>yellow pepper</topping>
UPDATE_ATTRIBUTE	<size>SMALL</size>. <crust>GLUTEN FREE</crust>. <pizza_type>MEAT LOVERS PIZZA</pizza_type>.
THANK	Thanks there’s a hefty tip here for you if it’s all correct
CONFIRM	sounds good
UPDATE_ATTRIBUTE	Uh, no, I want a <pizza_type>Hawaiian</pizza_type> pizza, please.
DEPART	 Thanks! Bye 
UNDEFINED	"Hey get me my pocket book will you, the red one no the red one yes that one"
MAKE_PIZZA	Hey um can I get a <size>large</size> pizza, no <topping>cheese</topping>, <topping>diced tomatoes</topping>, and <topping>spinach</topping>?
ADD_MODALITY	 Hi <name>Julie</name>! I'd like to place an order for <modality>pickup</modality>? 
CONFIRM	 Gotcha! Well, I will feel extra fancy tonight eating my premium pizza.
ADD_PAYMENT_ATTRIBUTE	It's <name>Jack Johnson</name>, <numeric>1564</numeric>, expires <numeric>01/21</numeric>, and the code on that is <numeric>678</numeric>! Zip code <numeric>07070</numeric>.
CONFIRM	Yeah
REQUEST	Do you have any coupons or?
GREET	hi,
UNDEFINED	 You too!
ADD_ATTRIBUTE	<crust>normal</crust> crust is fine.
ADD_MODALITY	how about <modality>take-out</modality>
DENY	No, I'll just, just the pizza, please.
MAKE_PIZZA	"Okay.  Ooookay.  I think... what I'll do I'll probably get <quant>2</quant> <size>larges</size> then just to make suuure and then if anybody wants extra there'll be enough. Okay so I will get.... sorry I'm pulling up the menu. (Pause) Um... (clears throat) Okay can I get <quant>one</quant> of the <size>large</size> um <pizza_type>Thai chicken</pizza_type> pizzas... ah, and can I get <quant>no</quant> <topping>cilantro</topping> on that?"
ADD_ATTRIBUTE	"6$, got it. That should be fine."
ADD_PERSONAL	let's go with <name>steve</name>, please
ADD_PERSONAL	Name’s <name>Chris</name>. Give me <quant>2</quant> <side>breadsticks</side> to go
ADD_ATTRIBUTE	I’ll go with the <crust>deep dish</crust> then.
DENY	no sides and one <beverage>rootbeer</beverage>
MAKE_PIZZA	I’m going to need a selection of <quant>5</quant> <size>large</size> pizzas for our party.
UNDEFINED	 ring ring 
GREET	"hi,"
CONFIRM	" yeah, that's correct "
ADD_ATTRIBUTE	<size>Medium</size>.
INFORM	"Ack! <quant>No</quant> <beverage>Pepsi</beverage>? Well <beverage>Coke</beverage> is fine, I’ll have <quant>2</quant> liters"
ADD_PERSONAL	"Yes, my name - this is <name>Person</name>"
MAKE_PIZZA	Can I please get <quant>one</quant> <quant>three</quant> <pizza_type>4 Cheese</pizza_type> pizzas for <modality>pickup</modality>
CONFIRM	"Oh, WOW. Yes, please"
ADD_MODALITY	yes, oh, and can you make it <modality>delivery</modality>
CHECK_ORDER_STATUS	when will my pizza order arrive here?
ADD_PERSONAL	yeah that'll be <address>one two three four five at [pause] uh [inaudible] uh seattle washington</address>
MAKE_PIZZA	i'd like a <pizza_type>hawaiian</pizza_type> on <crust>gluten free</crust> crust. make it <size>14 inch</size>
UNDEFINED	"Oh, hi there, I…sorry. Something came up."
START_ORDERING	"hey, how's it going? i'd like to place an order"
ORDER_PREFERRED	"may i place an order for my favorite pizza order again, please"
UNDEFINED	 Great! 
REQUEST_LISTING	uh do you have any good <topping_type>cheese</topping_type> pizzas that i could get
MAKE_PIZZA	 Hi, I wanted to order a <size>small</size> <pizza_type>pepperoni</pizza_type> and a <size>large</size> <beverage>fountain drink</beverage>
ADD_PAYMENT_ATTRIBUTE	Um and the code is <numeric>782</numeric>…the expiration is <numeric>12/89</numeric>
ADD_PAYMENT_ATTRIBUTE	And expiration is ah <numeric>0 1 2 0</numeric>
UNDEFINED	"So I see some of your toppings cost more than others. Some are <cost>two dollars</cost> and some are <cost>a dollar fifty</cost>. Do you think it's worth it to get kind of like the premium toppings? Or I guess the, I guess the <cost>dollar fifty</cost> toppings are just <topping_type>cheese</topping_type>. So I guess I will have to spend that extra <cost>fifty cents</cost> for toppings won’t I?."
ADD_PAYMENT_ATTRIBUTE	Perfect, let me give you my card...um that.s gonna be -- the number is um <numeric>1024</numeric>
UNDEFINED	Oh great. Great. Okay -
ADD_PERSONAL	 under <name>John greene</name>
GREET	hey, how's it going?
UPDATE_ATTRIBUTE	You know what if you have <topping>kale</topping> we can do both
ADD_MODALITY	<modality>take-out</modality> sounds good
THANK	amazing thanks
ADD_MODALITY	please make it <modality>take-out</modality>
ADD_PERSONAL	<name>Jennifer</name>.
REQUEST_LISTING	Okay, um...d-do you have uh, like, <side>garlic bread</side>? Without <topping>milk</topping>
CONFIRM	Boom. That’s it for me man.
INFORM	"Great, I won’t need any sides."
ADD_MODALITY	"For <modality>delivery</modality>, to <adddress>132 4th Ave suite 67</adddress>"
ORDER_PREFERRED	"i'd like to place another order for my favorite order, please"
ORDER_PREFERRED	could i place an order for my previous again, please
ADD_MODALITY	"yeah, <modality>delivery</modality>, please"
UNDEFINED	REPRESENTATIVE
ADD_MODALITY	hello I need to place a <modality>takeout</modality> order
UNDEFINED	Because you won’t get pizza if you keep acting this way is why
MAKE_PIZZA	Person three just wants a pizza with <topping>cheddar</topping> cheese on <crust>regular</crust> crust
UPDATE_PAYMENT_ATTRIBUTE	Um, sorry, the card information is <numeric>000</numeric> And--
UPDATE_ATTRIBUTE	Okay sounds good. Can I actually get a <size>small</size>?
ADD_MODALITY	"oh, and can you, please make it <modality>take-out</modality>"
ADD_PAYMENT_ATTRIBUTE	"Yes, it's <numeric>5667</numeric>?"
ADD_PERSONAL	it's <name>michael</name>
ADD_ATTRIBUTE	"Hm … <crust>deep dish</crust> or <crust>regular</crust> … I’ll go with the <crust>regular</crust>. Also, do you have any <side>salads</side>?"
ADD_PERSONAL	it's <name>jp</name>
MAKE_PIZZA	And then the second one is gonna be um the <pizza_type>complete combo</pizza_type>
CONFIRM	"Yes, that’s it. That’ll be all."
END_ORDERING	<quant>No</quant> pizza today
ADD_PERSONAL	"let's go with <name>eva</name>, please"
ADD_ATTRIBUTE	<topping>Spinach</topping>
CONFIRM	uh-huh
START_ORDERING	"hey, how's it going? i'd like a <modality>take-out</modality> order"
ADD_MODALITY	"<modality>Delivery</modality> please! <address>845 12th Street, apartment C</address>."
ADD_PAYMENT_ATTRIBUTE	"Sure, it's <numeric>7890</numeric>, security code <numeric>123</numeric>, expiration <numeric>12/34</numeric>. And the name on it is <name>Janet Gold</name>"
CONFIRM	 Yeah!
UPDATE_ATTRIBUTE	i'd rather get it as a <pizza_type>supreme</pizza_type> instead
ADD_MODALITY	<modality>delivery</modality> would be great
ADD_MODALITY	 For <modality>pickup</modality>. Name is <name>David Green</name>
MAKE_PIZZA	"hello, can i get a <size>10 inch</size> supreme, please ?"
INFORM	Alright, I.ll be there in <time>20 minutes</time>
REQUEST_LISTING	uh what kind of drinks do you have
ADD_PERSONAL	Um, it.s <email>m e l a n i e e e at email dot com</email>.
ADD_MODALITY	"<modality>take-out</modality> will be great, please"
THANK	 Thanks! 
REQUEST	Oh - <pizza_type>Veggie supreme</pizza_type> - what’s in that?
CHECK_ORDER_STATUS	when will my pizza order be delivered?
ORDER_PREFERRED	can i get my previous order again
REQUEST	"Um, I want to order a pizza here, but I'm honestly it's my first time because I'm not from the US and it's going to be my first time going to a pizza restaurant. So I'm not having a good option right now coo, do you have any suggestions at this point?"
DEPART	Great thank you bye
MAKE_PIZZA	 I wanna get a <crust>regular</crust> <pizza_type>cheese</pizza_type> pizza, no drink or side please 
ADD_MODALITY	<modality>delivery</modality>
ADD_MODALITY	"let's go with <modality>pick up</modality>, please"
ORDER_PREFERRED	place another order for my preferred pizza order
UPDATE_PERSONAL	Sorry- the name is <name>Avery</name>
REQUEST	Hi…is this Pizza Restaurant?
DENY	You know what, it.s okay, nevermind. I.ll just--
MAKE_PIZZA	Umm. Uhhh. Uh could I just get a umm... a a <size>small</size> <pizza_type>four cheese</pizza_type> pizza?
MAKE_PIZZA	i want to order a <pizza_type>4 cheese</pizza_type> on <crust>gluten free</crust>. make it <size>small</size>
ADD_MODALITY	yeah, <modality>take out</modality> sounds good
ORDER_PREFERRED	hello, i'd like to place an order
INFORM	I’ll be there in <time>25 min</time>
ADD_PERSONAL	"<name>Jane Lawrence</name>, the card is <numeric>8009</numeric>"
ADD_ATTRIBUTE	"ok I'm back they are want <crust>regular</crust>, and we need to add <quant>one</quant> <side>green salad</side>"
CONFIRM	Um, yeah
DENY	"no, i'd like to change something"
MAKE_PIZZA	 Hi! I'd like a <size>large</size> <pizza_type>pepperoni</pizza_type> pizza and a <size>small</size> <pizza_type>cheese</pizza_type>
DENY	nope
UNDEFINED	"Okay. Yeah that’s a probably good idea, the- <quant>all</quant> the combinations. Those would get so confusing, and <crust>regular</crust> is-is much cheaper than <crust>deep dish</crust> so ( oh yeah)"
REQUEST	Did you get that?
CONFIRM	yes obviously
UPDATE_ATTRIBUTE	Sorry half <pizza_type>pepperoni</pizza_type> half <topping>sausage</topping>
ADD_PERSONAL	"<address>555 Candle Avenue NW</address>, gate code <numeric>660</numeric> <address>building 4</address>, I'll meet the driver outside"
ADD_ATTRIBUTE	<pizza_type>Four cheese</pizza_type>, <pizza_type>four cheese</pizza_type>
REQUEST	<size>12”</size> - is that the <size>medium</size> size?
ORDER_PREFERRED	please reorder my usual again
ADD_MODALITY	Cool. I can come get it. Do you know when that will be ready?
THANK	okay great. Thank you!
CONFIRM	Mm hmm.
ADD_MODALITY	<modality>pick up</modality> will be great
START_ORDERING	"hi, i'd like to place an order for <modality>take-out</modality> from your <store>george town</store> store"
ADD_PERSONAL	put it under <name>khushboo</name>
DENY	I think that.s it, alright, yeah
ADD_PERSONAL	Uhh to <address>Street 123 Apartment 7</address>.
UPDATE_ATTRIBUTE	Well, I asked for <pizza_type>Hawaiian</pizza_type>. <pizza_type>Hawaiian</pizza_type> comes with <topping>pineapple</topping> and <topping>ham</topping>.
MAKE_PIZZA	" Hi, I need to order a couple of <size>medium</size> <pizza_type>pepperoni</pizza_type> pizzas "
ADD_MODALITY	oh delivery is much too expensive um that'll be <modality>pickup</modality>
REQUEST	When will your driver be arriving?
INFORM	I think I’ll also get <quant>three</quant> <beverage>colas</beverage> and <quant>two</quant> <beverage>orange sodas</beverage>.
MAKE_PIZZA	"hi, may i get a <pizza_type>hawaiian</pizza_type>, please"
UNDEFINED	"Sure, okay "
ADD_PERSONAL	it's <number>360-555-1271</number>
UPDATE_ATTRIBUTE	You know what if you have <topping>kale</topping> we can do both
MAKE_PIZZA	"Awesome, the fifth person and the sixth person both want <pizza_type>4 cheese</pizza_type> but person 5 wants it with <quant>no</quant> <toppping>mozzarella</toppping> and person 6 doesn't want <quant>swiss</quant>"
MAKE_PIZZA	"Can I get a side <side>green salad</side> with <quant>no</quant> <topping>tomatoes</topping>, <quant>4</quant> <size>medium</size> <pizza_type>cheese</pizza_type> pizzas with <crust>regular</crust> crust, and <quant>3</quant> <beverage>ginger ale</beverage>"
REQUEST_COST_OF	"Okay. Um, what is the price of your <size>large</size> pizzas and is this the store. I saw coupons online for?"
MAKE_PIZZA	i want a <pizza_type>veggie supreme</pizza_type> on <crust>gluten free</crust> crust
UPDATE_ATTRIBUTE	Um, I hate mushrooms, can you just-can you just do the <topping>red and yellow pepper</topping>?
ADD_PERSONAL	It’s for <name>John</name>
ADD_PERSONAL	"put it under <name>eric</name>, please"
DENY	nope
ADD_PERSONAL	"Yes. It's <name>Jane Grant</name>, number is <numeric>4567</numeric>, expiration <numeric>04/56</numeric>, code <numeric>456</numeric>, and the zip code on that is <numeric>04567</numeric>"
REQUEST_COST_OF	uh how much is it
MAKE_PIZZA	i'll get a uhh <pizza_type>hawaiian</pizza_type> on <crust>thin</crust>. make it <size>medium</size>
UNDEFINED	Um
ADD_PERSONAL	Yes. <name>Hannah Smith</name>.
CHECK_ORDER_STATUS	can you look up my order?
THANK	thank you
ADD_ATTRIBUTE	And then, like, all the <topping_type>vegetables</topping_type> you have
REQUEST_LISTING	Hi I just wanted to know what sides you have
ADD_MODALITY	" Thanks, and that'll be for <modality>pickup</modality>"
INFORM	The party theme is teenage mutant ninja turtles
ADD_MODALITY	yes, <modality>pick up</modality> will be great
DENY	Oh um. no
ADD_ATTRIBUTE	So can I get the <crust>thin</crust> crust and then just like a really thick layer of the <topping>tomato sauce</topping>?
GREET	"hello,"
ADD_MODALITY	"yep, how about <modality>take-out</modality>, please"
UPDATE_PERSONAL	it's <name>asli</name> wait <name>danko brown</name><
UNDEFINED	 Sure 
THANK	ok great thank you
CONFIRM	Mm-hm
ADD_PERSONAL	<number>425-555-1712</number>
MAKE_PIZZA	"Okay, okay that's- that should work. Um, there's something for everybody there, right?"
ADD_TO_ORDER	oh uh yeah i would love a <side>caesar salad</side>
ADD_PERSONAL	Right - it's <name>Person Person</name>
THANK	super thanks
CONFIRM	yep, <modality>pick up</modality> will be great
START_ORDERING	"could i order my pizza order again, please"
REQUEST_LISTING	Hm - what kinds of crusts are available?
INFORM	"Okay, I'll do that. Thank you."
CONFIRM	nooo i think that’s it.
THANK	sounds perfect thanks
DENY	nope
DENY	Oh um. no
MAKE_PIZZA	<topping>olive</topping> pizza
UNDEFINED	we don't need to know
UNDEFINED	Oh that’s good.
MAKE_PIZZA	I would like to order a <size>medium</size> <crust>thin</crust> crust pizza, with <topping>green onions</topping>, <topping>black mushrooms</topping>, and <topping>sausage</topping> <topping>peppers</topping>.
START_ORDERING	" Hi, I’ll like to order a pizza please."
MAKE_PIZZA	i want to order a <pizza_type>veggie supreme</pizza_type>. make it <size>small</size>
MAKE_PIZZA	hi, i'll have a <pizza_type>hawaiian</pizza_type>, please
ADD_PERSONAL	My card is <numeric>1234 1234 1234 1234</numeric>.  The name on the card is John Johnson
REQUEST	"Did you get that?  <quant>Two</quant> pizzas, <quant>two</quant> <beverage>cokes</beverage>"
MAKE_PIZZA	i need a <pizza_type>deep dish</pizza_type> pizza
THANK	amazing thank you
MAKE_PIZZA	can i get a <pizza_type>pepperoni</pizza_type> on <crust>regular</crust>. make it <size>10 inch</size>
REQUEST	" ok, say that again "
ADD_MODALITY	"<modality>Delivery</modality>, please!"
ORDER_PREFERRED	could i place another order for my order again, please
ADD_ATTRIBUTE	<crust>DEEP dish</crust>
ORDER_PREFERRED	please place another order for my most recent again
UPDATE_ATTRIBUTE	um [pause] i think i prefer <topping>swiss</topping>
ADD_MODALITY	<modality>Take out</modality>.
ADD_PERSONAL	it's <name>rahul</name>
THANK	Perfect. Thank you!
ADD_PERSONAL	My phone number is <number>206-123-4567</number>
UNDEFINED	all
DEPART	 you too 
UNDEFINED	 ring ring 
ORDER_PREFERRED	please place another order for my most common pizza order again
REQUEST	That’d be perfect thanks.  When will everything be ready?
DEPART	Bye!
CONFIRM	" Yes, that's all. "
ADD_MODALITY	<modality>pick up</modality> sounds good
ADD_PERSONAL	it's <name>imed</name>
ADD_MODALITY	<modality>take out</modality> from your <store>maple leaf</store> location, please
THANK	Okay, thanks. I'll, I'll see you then.
