	Conversation	Speaker	Transcript
0	Spoken_1	Clerk	Hello , this is UW pizza . How are you doing today ?
1	Spoken_1	User	Ah ... I need to order a pizza .
2	Spoken_1	Clerk	Ok. ah ... would you like to <modality> pick up </modality> your order or get it <modality> delivered </modality> ?
3	Spoken_1	User	Delivery please .
4	Spoken_1	Clerk	Ok. Ah ... can I have your address and phone number please .
5	Spoken_1	User	Address is <address> 1410 NE Campus Parkway Seattle , WA 98195 </address> .
6	Spoken_1	Clerk	Ok ... can I also have your phone number ?
7	Spoken_1	User	My phone number is <number> 206-123-4567 </number>
8	Spoken_1	Clerk	Nice . Ah ... can I also get your name ?
9	Spoken_1	User	My name is John .
10	Spoken_1	Clerk	Ok John , what would you like to order today ?
11	Spoken_1	User	I like to order <pizza_type> 4 cheese </pizza_type> pizza .
12	Spoken_1	Clerk	Ok , <pizza_type> 4 cheese </pizza_type> pizza . Do you need any extra toppings on your <pizza_type> 4 cheese </pizza_type> pizza ?
13	Spoken_1	User	I need black <topping> olives </topping> , <topping> mushrooms </topping> , and <topping> green peppers </topping> .
14	Spoken_1	Clerk	Ok , anything else ?
15	Spoken_1	User	Nope , that ’ s it .
16	Spoken_1	Clerk	Ok , and what kind of pizza crust would you like to have today ? We got thin , regular , deep dish and gluten-free crusts .
17	Spoken_1	User	Regular .
18	Spoken_1	Clerk	Ok so regular crust . And what size would you like to have for your pizza ?
19	Spoken_1	User	Medium .
20	Spoken_1	Clerk	Ok , and do you need any sides for your order ?
21	Spoken_1	User	One Caesar salad .
22	Spoken_1	Clerk	Ok , one Caesar salad . And would you like to have any drinks ?
23	Spoken_1	User	One Cola .
24	Spoken_1	Clerk	Ok , one Cola . Ok , ah just to make sure your order is correct . So you have a <pizza_type> 4 cheese </pizza_type> pizza with <topping> extra black olives </topping> , <topping> green peppers </topping> and <topping> mushrooms </topping> ... and you also have regular crust ... and your size for your pizza is medium with Caesar salad as side dish , and you also order one Cola for your drink . Is that all correct ?
25	Spoken_1	User	Yeah . That ’ s correct .
26	Spoken_1	Clerk	Ok , that ’ s nice . So your total for today will be 33.5 dollars plus 3 dollars deliver fee . Does that sound good to you ?
27	Spoken_1	User	Oh that ’ s good .
28	Spoken_1	Clerk	Ok so your order will be at your house in <time> 30 minutes </time> . And you are all set . Wish you a good day . Bye .
29	Spoken_1	User	Bye .
30	Spoken_2	Clerk	Hello , this is UW pizza . What can I help you today ?
31	Spoken_2	User	I ’ d like to order .
32	Spoken_2	Clerk	O~k~.Would you like to <modality> pick up </modality> your pizza or would you like your pizza to be delivered ?
33	Spoken_2	User	I like to <modality> pick up </modality> .
34	Spoken_2	Clerk	<modality> Ok pick up </modality> .
35	Spoken_2	User	Yes .
36	Spoken_2	Clerk	Ok that ’ s fine . Can I have your address and phone number please ?
37	Spoken_2	User	My address is Address is <address> 1410 NE Campus Parkway Seattle </address> .
38	Spoken_2	Clerk	Um hum .
39	Spoken_2	User	WA 98195 .
40	Spoken_2	Clerk	And also your phone number ?
41	Spoken_2	User	Oh , my phone number is 206-123-4567 .
42	Spoken_2	Clerk	O~k~ ... and what would you like to order today ?
43	Spoken_2	User	I would like to have <quant> one </quant> <pizza_type> pepperoni </pizza_type> , one Meat Lover and <quant> one </quant> <pizza_type> veggie supreme </pizza_type> .
44	Spoken_2	Clerk	Um hum ... and would you like any extra toppings for each of your pizza ?
45	Spoken_2	User	Oh no , that ’ s enough .
46	Spoken_2	Clerk	And what kind of pizza crust would you like for each of your pizza ?
47	Spoken_2	User	Uh ... thin crust for pepper , and regular crust for Meat Lover and deep dish for <pizza_type> veggie supreme </pizza_type> .
48	Spoken_2	Clerk	Ok. And what size would you like for each of your pizza ?
49	Spoken_2	User	All large .
50	Spoken_2	Clerk	Ok , all of them are large .
51	Spoken_2	User	Yeah .
52	Spoken_2	Clerk	Sounds good sounds good . And do you need any other side dishes ?
53	Spoken_2	User	Side dish…uh I need one bread stick and <quant> one </quant> <pizza_type> cheese </pizza_type> stick .
54	Spoken_2	Clerk	Ok. Do you need any drinks ?
55	Spoken_2	User	Five root beers .
56	Spoken_2	Clerk	Ok. Just to repeat your order . You like to have <quant> one </quant> <size> large </size> <pizza_type> pepperoni </pizza_type> with <crust> thin </crust> crust , <quant> one </quant> <size> large </size> Meat Lover with <crust> regular </crust> crust and <quant> one </quant> <size> large </size> <pizza_type> veggie supreme </pizza_type> with <crust> deep dish </crust> crust .
57	Spoken_2	User	Um .
58	Spoken_2	Clerk	And you also order <quant> one </quant> <pizza_type> cheese </pizza_type> stick and bread stick for your side dish .
59	Spoken_2	User	Yeah .
60	Spoken_2	Clerk	And you also order five root beers for your drink .
61	Spoken_2	User	Yes .
62	Spoken_2	Clerk	Are they all correct ?
63	Spoken_2	User	Correct .
64	Spoken_2	Clerk	Ok . So the total for your order will be 80.5 dollars . Can I have your credit card information ?
65	Spoken_2	User	Yes , my card type is MyCard , and my credit card number is <numeric> 12345 </numeric> , and the expiration date is end of the year .
66	Spoken_2	Clerk	Ok , and you are all set . Ah ... you can <modality> pick up </modality> in <time> 45 minutes </time> . Is that ok ?
67	Spoken_2	User	Ok. That ’ s ok .
68	Spoken_2	Clerk	Ok , have a good day .
69	Spoken_2	User	Bye .
70	Spoken_2	Clerk	Bye .
71	Spoken_2	User	Thank you .
72	Spoken_2	Clerk	Thank you .
73	Spoken_3	Clerk	Hello , this is UW pizza . What can I help you today ?
74	Spoken_3	User	I like to order a Hawaiin pizza with <quant> no </quant> <topping> pineapple </topping> .
75	Spoken_3	Clerk	Ok ... before you make your order , can I have your name ?
76	Spoken_3	User	Ohohoh ... my name is John .
77	Spoken_3	Clerk	Ok , would you like to <modality> pick up </modality> your pizza or would you like your pizza to be delivered ?
78	Spoken_3	User	I like to get my pizza delivered .
79	Spoken_3	Clerk	Ok nice ... ah ... can I also have your address and phone number please ?
80	Spoken_3	User	My address is Address is <address> 1410 NE Campus Parkway Seattle , WA 98195 </address> .
81	Spoken_3	Clerk	Un hum . And you phone number ?
82	Spoken_3	User	my phone number is 206-123-4567 .
83	Spoken_3	Clerk	Ok nice . And what would you like to order today ?
84	Spoken_3	User	Oh , I like to order a Hawaiin pizza without no <topping> pineapple </topping> .
85	Spoken_3	Clerk	O~~k~uh ... that ’ s unusual cuz our Hawaiin pizza usually comes with <topping> pineapple </topping> .
86	Spoken_3	User	But I hate <topping> pineapple </topping> . So I don ’ t want <topping> pineapple </topping> on my pizza .
87	Spoken_3	Clerk	Oh really . Ah ... let me ask our chef ... I will get back to you in one second .
88	Spoken_3	User	Ok~
89	Spoken_3	Clerk	Hi John ... after checking with our chef , our Hawaiin pizza must go with <topping> pineapple </topping> . Is it still working for you ? Or do you wan na order other pizza ?
90	Spoken_3	User	Uh uh ... no..I thought I can just order the pizza with <topping> only ham </topping> , mozzarella instead .
91	Spoken_3	Clerk	oh ok…so you wan na customize your pizza . So do you need extra toppings on your customized pizza ?
92	Spoken_3	User	No , that ’ s it .
93	Spoken_3	Clerk	Um ... what kind of pizza crust would you like to have on your customized pizza ?
94	Spoken_3	User	Gluten free please .
95	Spoken_3	Clerk	Ok. Um ... what size is your pizza ?
96	Spoken_3	User	Small size .
97	Spoken_3	Clerk	O~k . Do you need any side dishes ?
98	Spoken_3	User	No thanks .
99	Spoken_3	Clerk	Ok , do you need any drinks ?
100	Spoken_3	User	No .
101	Spoken_3	Clerk	Ok , just to double check your order today . So you would like to have one customized pizza , that is pizza with <topping> only ham </topping> and mozzarella with <crust> gluten free </crust> crust and medium size . Is that… ( interrupted )
102	Spoken_3	User	Uh no , I said it is small size .
103	Spoken_3	Clerk	Oh , sorry about that . So it is a small size pizza . And your total today will be <address> 15 plus 3 dollars delivery fee </address> . And it ’ s gon na take about 30 minutes to get it delivered to your place . Does it sound good ?
104	Spoken_3	User	There is a <quant> 3 </quant> <beverage> dollars </beverage> <modality> delivery </modality> fee ?
105	Spoken_3	Clerk	Yes .
106	Spoken_3	User	Oh I think I can just go pick today .
107	Spoken_3	Clerk	O~k . So the total will be 15 dollars instead .
108	Spoken_3	User	Ok .
109	Spoken_3	Clerk	And you can <modality> pick up </modality> your pizza in <time> 15 minutes </time> . Does that sound good to you ?
110	Spoken_3	User	Sounds nice .
111	Spoken_3	Clerk	Ok , have a nice day !
112	Spoken_3	User	Thank you , bye bye .
113	Spoken_3	Clerk	Bye~
114	Spoken_4	Clerk	Hello , this is UW pizza .
115	Spoken_4	User	Hi , I ’ d like to order pizza today .
116	Spoken_4	Clerk	OK , do you want <modality> delivery </modality> or pick-up ?
117	Spoken_4	User	Yeah , I ’ d like to ... I ’ d like my pizza to get delivered .
118	Spoken_4	Clerk	OK , so may I have your name ?
119	Spoken_4	User	Yeah , my name is Andy .
120	Spoken_4	Clerk	Andy . And may I have your address ?
