Intent	Sentence
GREET	ring ring
MAKE_PIZZA	i want to order a uh <pizza_type> 4 cheese </pizza_type> , please
DENY	no , i 'd like to change something
THANK	great , thanks so much
CONFIRM	ok , um ... oh god , ok
CONFIRM	mhm
REQUEST_LISTING	great do you have any thing to drink as well
ADD_MODALITY	yeah , <modality> delivery </modality> will be great , please
MAKE_PIZZA	****** . can i get a <size> large </size> <pizza_type> cheese </pizza_type> pizza with <topping> green peppers </topping> ?
ADD_TO_ORDER	add a <size> 16oz </size> <beverage> coke </beverage> please
INFORM	a two liter ****** and sprite ?
UNDEFINED	i 'm sorry , i 'm gon na try calling you back , it still sounds like static
UPDATE_PERSONAL	it 's <name> danko wait danko black </name>
MAKE_PIZZA	i 'd like a <size> 12 inch </size> <pizza_type> hawaiian </pizza_type> on <crust> regular </crust>
CONFIRM	that 'd be great
END_ORDERING	perfect . that ’ ll be all .
GREET	hello ?
ADD_ATTRIBUTE	i.ll take a <size> medium </size>
ADD_MODALITY	i.ll come in for <modality> pickup </modality>
MAKE_PIZZA	okay , this is okay so ****** have <quant> six </quant> ****** pizzas , but that was not the most popular . the most popular are just plain . so i think i 'm going to get <quant> one </quant> <pizza_type> vegan </pizza_type> , <quant> two </quant> <pizza_type> pepperoni </pizza_type> , um ... ****** , i do ****** know . should i get a plain pizza with <topping> pineapple </topping> , or should i get the <pizza_type> hawaiian </pizza_type> pizza ? it 's , it 's just so hard to know what what ****** ****** na work for <quant> 50 </quant> people
ADD_ATTRIBUTE	also <size> small </size>
ADD_ATTRIBUTE	okay , ****** i get the <crust> regular </crust> please ?
MAKE_PIZZA	hello , i 'd like a <pizza_type> 4 cheese </pizza_type>
DENY	nope , i 'd like to change something
GREET	ring ring
ADD_MODALITY	uhh <modality> delivery </modality> .
ADD_PERSONAL	it 's <number> 425-555-1276 </number>
REQUEST	can you repeat the order back ****** me ? <
CHECK_ORDER_STATUS	how far away is my pizza order ?
THANK	okay , thank you .
REQUEST	um hi is this the ****** on <address> 12345 ****** </address> ?
UNDEFINED	hi ****** i just called about <quant> three </quant> <size> medium </size> ****** ?
UNDEFINED	yeah , i ’ ll be right over .
UPDATE_ATTRIBUTE	ok , um , if you could just ****** ... let.s do that cheese but if you put on any other herbs or spices , like if there.s ****** a parsley sprinkle or anything , i need you to leave it off -- just as plain as possible
GREET	ring ring
UPDATE_PERSONAL	oh it 's ah , 98103 and it 's actually green *lake* avenue .
DEPART	bye .
CONFIRM	that ’ s it
CONFIRM	oh cool okay
MAKE_PIZZA	hi ! i want a <size> small </size> <pizza_type> two topping </pizza_type> pizza -- <topping> pepperoni </topping> and <topping> sausage </topping> -- and a <size> medium </size> dr pepper if you have it
ADD_MODALITY	yeah , let 's go with <modality> take ****** </modality> <
DENY	nope , i 'd like to change ******
GREET	hello ,
THANK	amazing thanks
ADD_MODALITY	hi ! could i order ****** <modality> delivery </modality> to <address> 567 12 street north </address> ?
INFORM	twenty-five percent , um , unless you pay ahead of time .
ADD_MODALITY	<modality> take out </modality> would be great , please
DENY	no thank ******
ADD_PAYMENT_ATTRIBUTE	wanted to make sure . two orders of <side> garlic bread </side> , um , my card information is , uh <numeric> 1234 </numeric>
CONFIRM	okay
ADD_MODALITY	okay ! let 's do the 50th street one ?
CHECK_ORDER_STATUS	please get my pizza order
DENY	no , i 'd like to change something
ADD_PAYMENT_ATTRIBUTE	um and the code is <numeric> 782 </numeric> …the expiration is <numeric> 12/89 </numeric>
DEPART	okay thank you bye
THANK	okay , thank ****** !
ADD_PERSONAL	use <name> vipul </name>
CHECK_ORDER_STATUS	how much longer until my order is ready ?
UNDEFINED	i 'm sorry there 's like static over your voice , let me ****** moving to another ******
ORDER_PREFERRED	please order my previous pizza
REQUEST_LISTING	do you ****** breadsticks ?
REQUEST	hi ! yes , sorry about that . i ’ m looking ****** a heavy meat option , do you have anything that might work for me ?
UPDATE_PAYMENT_ATTRIBUTE	and then the , uh , the expiration date is <numeric> 07/11 </numeric>
CHECK_ORDER_STATUS	can you , please look up the status of my order ?
ADD_PAYMENT_ATTRIBUTE	oh the code is <numeric> 111 </numeric> <
ADD_ATTRIBUTE	yeah . oh , sorry , can i also get the <topping> yellow pepper </topping>
UPDATE_ATTRIBUTE	small . <crust> gluten free </crust> . <pizza_type> meat lovers </pizza_type> pizza .
THANK	thanks there ’ s a ****** tip here for you if it ’ s all correct
CONFIRM	sounds good
UPDATE_ATTRIBUTE	uh , no , i want a <pizza_type> hawaiian </pizza_type> pizza , please .
DEPART	thanks ! bye
UNDEFINED	hey get me my pocket book will you , the red one no the ****** one yes that one
MAKE_PIZZA	hey um can i get a <size> large </size> pizza ****** no <topping> cheese </topping> , diced tomatoes , and <topping> spinach </topping> ?
ADD_MODALITY	hi julie ! i 'd like to place an order for <modality> pickup </modality> ******
CONFIRM	gotcha ! well , ****** will feel extra fancy tonight eating ****** premium pizza .
ADD_PAYMENT_ATTRIBUTE	it 's <name> jack johnson </name> , ****** , expires <numeric> 01/21 </numeric> ****** and the code on that is <numeric> 678 </numeric> ! zip code <numeric> 07070 </numeric> .
CONFIRM	yeah
REQUEST	do ****** have any coupons or ?
GREET	hi ,
UNDEFINED	you too !
ADD_ATTRIBUTE	normal crust is fine .
ADD_MODALITY	how about <modality> take-out </modality>
DENY	no ****** i 'll just , just the pizza , please .
MAKE_PIZZA	okay . ooookay . i think ... what i 'll ****** i 'll probably get ****** larges then just to make ****** and then if anybody wants extra there 'll be enough . okay so i will get ... . sorry i 'm pulling up the menu ****** ( pause ) um ... ( clears throat ) okay can i get <quant> one </quant> of the <size> large </size> um thai chicken pizzas ... ah , and can i get no ****** on that ?
ADD_ATTRIBUTE	6 $ , got it . that should be fine .
ADD_PERSONAL	let ****** go with steve , please
ADD_PERSONAL	name ’ s chris . give me <quant> 2 </quant> <side> breadsticks </side> to go
ADD_ATTRIBUTE	i ’ ll go with the <crust> deep dish </crust> then ******
DENY	no sides and <quant> one </quant> <beverage> rootbeer </beverage>
MAKE_PIZZA	i ’ m going to need a selection of <quant> 5 </quant> <size> large </size> pizzas for our party .
UNDEFINED	ring ring
GREET	hi ,
CONFIRM	yeah , that 's correct
ADD_ATTRIBUTE	medium .
INFORM	ack ! no pepsi ? well coke is fine , i ’ ll have <quant> 2 </quant> liters
ADD_PERSONAL	yes , my name - this is <name> person </name>
MAKE_PIZZA	can i please get <quant> one three </quant> <pizza_type> 4 cheese </pizza_type> pizzas for <modality> pickup </modality>
CONFIRM	oh , wow . yes , please
ADD_MODALITY	yes , oh , and can you ****** it <modality> delivery </modality>
CHECK_ORDER_STATUS	when will my pizza order arrive here ?
ADD_PERSONAL	yeah that 'll be <address> one two three four five at [ pause ] uh [ inaudible ] uh seattle washington </address>
MAKE_PIZZA	****** 'd like a <pizza_type> hawaiian </pizza_type> on <crust> gluten free </crust> crust ****** make it <size> 14 inch </size>
UNDEFINED	oh , hi there , i…sorry . something came up .
START_ORDERING	hey , how 's it going ? i 'd like ****** place an order
ORDER_PREFERRED	may ****** place an order for my favorite pizza order again , please
UNDEFINED	****** !
REQUEST_LISTING	uh do you have any good cheese pizzas that i could get
MAKE_PIZZA	hi , i wanted to order a <size> small </size> <pizza_type> pepperoni </pizza_type> and a <size> large </size> <beverage> fountain drink </beverage>
ADD_PAYMENT_ATTRIBUTE	um and the code is <numeric> 782 </numeric> …the expiration is <numeric> 12/89 </numeric>
ADD_PAYMENT_ATTRIBUTE	and expiration is ah <numeric> 0 1 2 0 </numeric>
UNDEFINED	so i see some of your toppings cost more than others . some are <cost> two dollars </cost> ****** some are a dollar fifty . do you think ****** ****** worth it to get kind of like the premium toppings ? or i guess the , i guess the dollar fifty toppings are just cheese . so i guess i will have to spend that ****** fifty cents for toppings won ****** t i ? .
ADD_PAYMENT_ATTRIBUTE	perfect , let me give you my card ... um that.s ****** na be ****** the number is um ******
UNDEFINED	oh great . great . okay -
ADD_PERSONAL	under <name> john greene </name>
GREET	hey , how 's it going ?
UPDATE_ATTRIBUTE	you know what if you have kale we can do both
ADD_MODALITY	<modality> take-out </modality> sounds good
THANK	amazing thanks
ADD_MODALITY	please make it <modality> take-out </modality>
ADD_PERSONAL	jennifer ******
REQUEST_LISTING	okay , um ... d-do ****** have uh , like , garlic bread ? without <topping> milk </topping>
CONFIRM	boom . that ’ s it for me man .
INFORM	great , i won ’ t need any sides .
ADD_MODALITY	for <modality> delivery </modality> , to <address> 132 4th ave suite 67 </address>
ORDER_PREFERRED	i 'd like to place another order for my favorite order , please
ORDER_PREFERRED	****** i place an order for my previous again , please
ADD_MODALITY	yeah , ****** , please
UNDEFINED	representative
ADD_MODALITY	hello i need to place a takeout order
UNDEFINED	because ****** won ’ t get pizza if you keep acting this way is why
MAKE_PIZZA	person three just ****** a pizza with <topping> cheddar cheese </topping> ****** regular crust
UPDATE_PAYMENT_ATTRIBUTE	um , sorry , the card information is <numeric> 000 </numeric> ****** --
UPDATE_ATTRIBUTE	okay sounds ****** . can i actually get a <size> small </size> ?
ADD_MODALITY	oh , and can you , please make it <modality> take-out </modality>
ADD_PAYMENT_ATTRIBUTE	yes , ****** 's <numeric> 5667 </numeric> ?
ADD_PERSONAL	it 's <name> michael </name>
ADD_ATTRIBUTE	hm … <crust> deep dish </crust> or <crust> regular </crust> … i ’ ll go with the regular . also , do you have any salads ?
ADD_PERSONAL	it 's <name> jp </name>
MAKE_PIZZA	and then the second one is gon ****** be um ****** complete combo
CONFIRM	yes , that ’ s it . that ’ ll be all .
END_ORDERING	****** pizza today
ADD_PERSONAL	let 's go with <name> eva </name> , please
ADD_ATTRIBUTE	<topping> spinach </topping>
CONFIRM	uh-huh
START_ORDERING	hey , how ****** it going ? i 'd like a take-out order
ADD_MODALITY	<modality> delivery </modality> please ! <address> 845 12th street , apartment ****** </address> .
ADD_PAYMENT_ATTRIBUTE	sure , it 's <numeric> 7890 </numeric> , security code <numeric> 123 </numeric> , expiration <numeric> 12/34 </numeric> . and the name on it is <name> janet gold </name>
CONFIRM	yeah !
UPDATE_ATTRIBUTE	i 'd rather get it as a <pizza_type> supreme </pizza_type> instead
ADD_MODALITY	<modality> delivery </modality> would be great
ADD_MODALITY	for <modality> pickup </modality> . name is <name> david green </name>
MAKE_PIZZA	hello , can ****** get a <size> 10 inch </size> <pizza_type> supreme </pizza_type> , ****** ?
INFORM	alright , i.ll be there in <time> 20 ****** </time>
REQUEST_LISTING	uh what kind of drinks do you have
ADD_PERSONAL	um , it.s ****** e l a ****** i e e e at ****** dot com .
ADD_MODALITY	<modality> take-out </modality> will be great , please
THANK	thanks !
REQUEST	oh - <pizza_type> veggie supreme </pizza_type> - what ’ s in that ?
CHECK_ORDER_STATUS	when will my pizza order be delivered ?
ORDER_PREFERRED	can i get my previous order again
REQUEST	um , i want to order a pizza here , but i 'm honestly it 's my first time because i ****** not from the us and it 's going to be my first time going to a pizza restaurant . so i ****** not having a good option right ****** coo , do you ****** any ****** at this point ?
DEPART	great thank you bye
MAKE_PIZZA	i wan na get a <crust> regular </crust> <pizza_type> cheese </pizza_type> pizza ****** no drink or side please
ADD_MODALITY	<modality> delivery </modality>
ADD_MODALITY	let 's go with <modality> pick up </modality> , please
ORDER_PREFERRED	place another order for my preferred pizza order
UPDATE_PERSONAL	sorry- the name is <name> avery </name>
REQUEST	hi…is this pizza restaurant ?
DENY	****** know what , it.s okay , nevermind . i.ll just --
MAKE_PIZZA	umm . uhhh . uh could i just get a umm ... a a <size> small </size> <pizza_type> four ****** </pizza_type> ****** ******
MAKE_PIZZA	i want to order a <pizza_type> 4 cheese </pizza_type> on <crust> gluten free </crust> . make it <size> small </size>
ADD_MODALITY	yeah , ****** out sounds good
ORDER_PREFERRED	hello , i 'd like to place an order
INFORM	****** ’ ll be there in <time> 25 min </time>
ADD_PERSONAL	<name> jane lawrence </name> , the card is <numeric> 8009 </numeric>
ADD_ATTRIBUTE	ok i 'm back they are want <crust> regular </crust> , and we need to add <quant> one </quant> <side> green salad </side>
CONFIRM	um , yeah
DENY	no , i 'd like to change ******
MAKE_PIZZA	hi ! i 'd like a <size> large </size> <pizza_type> pepperoni </pizza_type> pizza and a <size> small </size> <pizza_type> cheese </pizza_type>
DENY	nope
UNDEFINED	okay . yeah that ’ s a probably good idea , the- all the combinations . those ****** get so confusing , and regular is-is much cheaper than <crust> deep dish </crust> so ( oh yeah )
REQUEST	did you get that ?
CONFIRM	yes obviously
UPDATE_ATTRIBUTE	sorry half <pizza_type> pepperoni </pizza_type> half <topping> sausage </topping>
ADD_PERSONAL	<address> ****** candle avenue nw , gate code 660 building 4 </address> , i 'll meet the driver outside
ADD_ATTRIBUTE	four ****** , <pizza_type> four cheese </pizza_type>
REQUEST	12 ” - is that the medium size ?
ORDER_PREFERRED	please reorder my usual again
ADD_MODALITY	cool . i can come get it . do you know when that will be ready ?
THANK	okay great . thank you !
CONFIRM	mm ****** ******
ADD_MODALITY	<modality> pick up </modality> will be great
START_ORDERING	hi , i 'd like to place an order for <modality> take-out </modality> from your <store> george town store </store>
ADD_PERSONAL	put it under <name> khushboo </name>
DENY	i think that.s it ****** alright , yeah
ADD_PERSONAL	uhh to <address> street 123 apartment 7 </address> .
UPDATE_ATTRIBUTE	well , i asked for <pizza_type> hawaiian </pizza_type> . hawaiian comes with <topping> pineapple </topping> and <topping> ham </topping> .
MAKE_PIZZA	hi , i need to ****** a couple of <size> medium </size> <pizza_type> pepperoni </pizza_type> pizzas
ADD_MODALITY	oh delivery is much too expensive um that 'll be <modality> pickup </modality>
REQUEST	when will your driver be arriving ?
INFORM	i think ****** ****** ll also get <quant> three </quant> ****** and <quant> two </quant> <beverage> orange sodas </beverage> .
MAKE_PIZZA	hi , may i get a <pizza_type> hawaiian </pizza_type> , please
UNDEFINED	sure , okay
ADD_PERSONAL	it 's <number> 360-555-1271 </number>
UPDATE_ATTRIBUTE	you know what if you have kale we can do both
MAKE_PIZZA	awesome , the fifth person and ****** sixth person both want <pizza_type> 4 cheese </pizza_type> but person 5 wants it with no mozzarella and ****** 6 does n't want <topping> swiss </topping>
MAKE_PIZZA	can i get a side green salad with <quant> no </quant> <topping> tomatoes </topping> , <quant> 4 </quant> <size> medium </size> <pizza_type> cheese </pizza_type> pizzas with <crust> regular </crust> crust , ****** <quant> 3 </quant> <beverage> ginger ale </beverage>
REQUEST_COST_OF	okay . um , what is the price ****** your <size> large </size> pizzas and is this the store . i saw coupons online for ?
MAKE_PIZZA	i want a <pizza_type> veggie supreme </pizza_type> on <crust> gluten free </crust> crust
UPDATE_ATTRIBUTE	um , i hate mushrooms , can you just-can you just do the red and yellow pepper ?
ADD_PERSONAL	it ’ s for <name> john </name>
ADD_PERSONAL	put it under eric , please
DENY	nope
ADD_PERSONAL	yes . ****** 's <name> jane grant </name> , number is <numeric> 4567 </numeric> , expiration <numeric> 04/56 </numeric> , code <numeric> 456 </numeric> , and the zip code on that is <numeric> 04567 </numeric>
REQUEST_COST_OF	uh how much is it
MAKE_PIZZA	i 'll get a <pizza_type> uhh hawaiian </pizza_type> on <crust> thin </crust> . make it <size> medium </size>
UNDEFINED	um
ADD_PERSONAL	yes . hannah smith .
CHECK_ORDER_STATUS	can you look up my order ?
THANK	thank you
ADD_ATTRIBUTE	and then , like , all the vegetables you have
REQUEST_LISTING	hi i just wanted to know what sides you have
ADD_MODALITY	thanks , and that 'll be ****** <modality> pickup </modality>
INFORM	the party theme is teenage mutant ninja turtles
ADD_MODALITY	yes , <modality> pick up </modality> will be great
DENY	oh um . no
ADD_ATTRIBUTE	so can i get the <crust> thin </crust> crust and then just like a really thick layer of the tomato sauce ?
GREET	hello ,
ADD_MODALITY	****** , how about <modality> take-out </modality> , please
UPDATE_PERSONAL	it 's asli wait danko brown <
UNDEFINED	sure
THANK	ok great thank you
CONFIRM	mm-hm
ADD_PERSONAL	425-555-1712
MAKE_PIZZA	okay , okay that's- that should work . um , there 's ****** for everybody there , right ?
ADD_TO_ORDER	oh uh yeah ****** would love a <side> caesar salad </side>
ADD_PERSONAL	right - it 's <name> person ****** </name>
THANK	super thanks
CONFIRM	yep , ****** up will be great
START_ORDERING	could i order my pizza order again , please
REQUEST_LISTING	hm - what kinds of crusts are available ?
INFORM	okay , i 'll do that . thank you ******
CONFIRM	nooo i think that ’ s it .
THANK	sounds perfect thanks
DENY	nope
DENY	oh um . no
MAKE_PIZZA	olive pizza
UNDEFINED	****** do n't need to know
UNDEFINED	oh that ’ s good .
MAKE_PIZZA	i would like to order a <size> medium </size> <crust> thin </crust> crust pizza , with <topping> green onions </topping> , <topping> black mushrooms </topping> , and <topping> sausage peppers </topping> .
START_ORDERING	hi , i ’ ll ****** to order a pizza please .
MAKE_PIZZA	i want to order a <pizza_type> veggie supreme </pizza_type> . make it <size> small </size>
MAKE_PIZZA	****** , i 'll have a <pizza_type> hawaiian </pizza_type> , ******
ADD_PERSONAL	my card is <numeric> 1234 1234 1234 1234 </numeric> . the name on the card is <name> john johnson </name>
REQUEST	did you get that ? <quant> two </quant> pizzas , <quant> two </quant> <beverage> cokes </beverage>
MAKE_PIZZA	i need a <crust> deep dish </crust> pizza
THANK	amazing thank you
MAKE_PIZZA	can i get a ****** on <crust> regular </crust> . make it <size> 10 inch </size>
REQUEST	ok , say that again
ADD_MODALITY	<modality> delivery </modality> , please !
ORDER_PREFERRED	could i place another order for my order again , please
ADD_ATTRIBUTE	<crust> deep dish </crust>
ORDER_PREFERRED	****** place another ****** for my most recent again
UPDATE_ATTRIBUTE	um [ pause ] i think i prefer <topping> swiss </topping>
ADD_MODALITY	<modality> take out </modality> .
ADD_PERSONAL	it 's <name> rahul </name>
THANK	perfect . ****** you !
ADD_PERSONAL	****** phone number is <number> 206-123-4567 </number>
UNDEFINED	all
DEPART	you too
UNDEFINED	ring ring
ORDER_PREFERRED	please place another order for my most common pizza order again
REQUEST	that ’ d be perfect thanks . when ****** everything ****** ****** ?
DEPART	bye !
CONFIRM	yes , that ****** all .
ADD_MODALITY	<modality> pick up </modality> sounds good
ADD_PERSONAL	****** 's <name> imed </name>
ADD_MODALITY	<modality> take out </modality> from your maple leaf location , please
THANK	okay , thanks . i 'll , i 'll see you then .
MAKE_PIZZA	yeah for the ****** pizza and then . uh a mushroom and uh spinach ? and feta ? do you have that ?
CONFIRM	yeah ****** that ’ s correct .
DEPART	okay . uh , alright bye .
THANK	thank you
REQUEST	okay ! thank you ! how long will it take to get here ?
MAKE_PIZZA	i want to order a <pizza_type> pepperoni </pizza_type> on <crust> regular </crust>
REQUEST	sorry say that again ?
DENY	nope
REQUEST	can you take it down now ?
UNDEFINED	hold on i have to ask them
CONFIRM	yes ! that 's my order
MAKE_PIZZA	can ****** get a <pizza_type> pepperoni </pizza_type> . make it <size> large </size>
ORDER_PREFERRED	may i order my most frequent again , please
MAKE_PIZZA	i 'd like to order a uh <pizza_type> meat lovers </pizza_type> on <crust> gluten free </crust> crust , please
CONFIRM	excellent !
ADD_PERSONAL	it 's <number> 206-555-8761 </number>
ORDER_PREFERRED	could i get my most recent again
UNDEFINED	great !
THANK	great , thank you
GREET	hi ,
ADD_PERSONAL	let 's go with <name> jp </name>
UNDEFINED	oof . let me think here .
ORDER_PREFERRED	could i place another order for my most recent order
