Conversation	Speaker	Transcript
Spoken_1	Clerk	Hello this is , ah , Pizza Palace how can I help you ?
Spoken_1	User	Hi , I just wanted to see if I can place an order for <modality> delivery </modality> . ( Clears throat )
Spoken_1	Clerk	Okay , um what time would you need this ?
Spoken_1	User	Um , I 'm looking for around 5 o'clock .
Spoken_1	Clerk	Okay , 5 o'clock . ( pause )
Spoken_1	Clerk	And you 're looking for <modality> delivery </modality> right ? Uh can you tell me your neighborhood your , address ?
Spoken_1	User	Yeah for sure , so I 'm right next to Greenlake , I 'm at 555 , um , Green Lake Avenue ( clears throat ) and the zip code is <numeric> 98103 </numeric>
Spoken_1	Clerk	Okay , 98103 . Ah , just to confirm that was 555 Greenwood Avenue , um and what was the ZIP code again sorry ? ( I kind of interrupted here , need to see if I can figure out what I said . )
Spoken_1	User	Oh it 's ah , 98103 and it 's actually Green *lake* avenue .
Spoken_1	Clerk	Green *lake* avenue , my bad , Green lake avenue . And 9183 ?
Spoken_1	User	<address> Ah 9.. 98103 </address>
Spoken_1	Clerk	98103 , sorry about that . And what can I get you today ?
Spoken_1	User	Um okay , so I have about 6 people and I 'm wondering how many pizzas I should get in order to feed six people . They 're all adults , ah , nobody has any dietary restrictions or anything like that but I just want to make sure I order enough food
Spoken_1	Clerk	okay so you said six people right ? Um ,
Spoken_1	User	( clears throat )
Spoken_1	Clerk	One of our pizzas usually feeds about 4 . Ah , they 're usually , ah , 15 inches , um so I would recommend maybe <quant> one </quant> <size> large </size> and <quant> one </quant> <size> small </size> ? Ah , we do n't have a <size> medium </size> .
Spoken_1	User	Okay . Ooookay . I think ... what I 'll do I 'll probably get <quant> 2 </quant> <size> larges </size> then just to make suuure and then if anybody wants extra there 'll be enough . Okay so I will get ... . sorry I 'm pulling up the menu . ( Pause ) Um ... ( clears throat ) Okay can I get one of the large um Thai chicken pizzas ... ah , and can I get no cilantro on that ?
Spoken_1	Clerk	Okay , <quant> one </quant> <size> large </size> Thai chicken without cilantro '' ,
Spoken_1	User	Mm-hm
Spoken_1	Clerk	And what are we doing for the second one ?
Spoken_1	User	And then the second one is gon na be um the complete combo
Spoken_1	Clerk	Complete ... combo . All right and that is a <size> small </size> correct , 10 inch ?
Spoken_1	User	Um.. actually I 'm going to do a <size> large </size> for that one . So it 's gon na be ...
Spoken_1	Clerk	So 2 larges
Spoken_1	User	Mm-hm
Spoken_1	Clerk	Okay . So I have a <size> large </size> ah , complete.. combo and a <size> large </size> <pizza_type> Thai </pizza_type> chicken no cilantro . Anything else ?
Spoken_1	User	Ahhh.. that 's gon na be it !
Spoken_1	Clerk	Alright , your total is going to be.. ah , $ 40 .
