Conversation	Speaker	Transcript
Spoken1	Clerk	Hi this is generic pizza place what can I get you ?
Spoken1	User	Umm . Uhhh . Uh could I just get a umm ... a a <size> small </size> <pizza_type> four cheese </pizza_type> pizza ?
Spoken1	Clerk	Okay , a <size> small </size> <pizza_type> four cheese </pizza_type> pizza . Was there anything else ?
Spoken1	User	Uhhh uh yeah , uh a cola . Umm .
Spoken1	Clerk	Okay , a cola .
Spoken1	User	Yeeah , um . That should be it .
Spoken1	Clerk	Okay , so a <size> small </size> <pizza_type> four cheese </pizza_type> pizza and a cola . Umm just give me one quick second , so . Okay , so that 's going to be nineteen fifty umm , were you looking to pick up or did you want <refexp id='reid.0'>it</refexp> delivered ?
Spoken1	User	Umm . Uh , delivered , <modality> delivered </modality> , yeah . Delivered .
Spoken1	Clerk	Yeah okay . Uhh what was your name ?
Spoken1	User	Is uh , is Jane Doe .
Spoken1	Clerk	Okay Jane . So that 's going to come out to a total of twenty two fifty . Umm , it should be about fifteen minutes for <ref id='reid.1'>the pizza</ref> to finish baking and we 'll get <refexp id='reid.1'>it</refexp> sent out to you right after that . So it should be about . Let 's see , it looks about twenty five minutes .
Spoken1	User	Oh great . Great . Okay -
Spoken1	Clerk	Alright -
Spoken1	User	- thanks .
Spoken1	Clerk	- cool . Alright , thank you .
Spoken2	Clerk	Hey hold on just give me one quick second . Okay hey . Umm . Hi . This is uhh . General pizza place that 's right alright . What can I get you ?
Spoken2	User	Hi umm . I just uhh . Uh . Quick quick question what are your veggie options ?
Spoken2	Clerk	Our veggie options . So . What we have are we have <topping> green peppers </topping> , red pep- err , wow , sorry , <topping> red onions </topping> , <topping> mushrooms </topping> , <topping> black olives </topping> . Umm , we got <topping> pineapple </topping> . And yeah . And so , as a collection we have the <pizza_type> veggie supreme </pizza_type> , which is mozzarella , <topping> green peppers </topping> , <topping> red onions </topping> , <topping> mushrooms </topping> , and <topping> black olives </topping> . And we also have a vegan option , which does n't come with any cheese , that 's green peppers , <topping> red onions </topping> , <topping> mushrooms </topping> , and <topping> black olives </topping> .
Spoken2	User	Okay -
Spoken2	Clerk	Any of <refexp id='reid.2'>that</refexp> sound good ?
Spoken2	User	- okay , umm . Yeah , yeah , the vegan sounds good . Could I get a a a <size> small </size> <pizza_type> vegan </pizza_type> uh pizza ? And um , do you have <crust> gluten free </crust> crust ?
Spoken2	Clerk	Okay , <ref id='reid.4'>a <size> small </size> <pizza_type> vegan </pizza_type> pizza</ref> , and yes , we do have <ref id='reid.3'><crust> gluten free </crust> crust</ref> . Umm . <refexp id='reid.3'>It</refexp> 's going to be an extra five dollars though .
Spoken2	User	Yeah , that 's great , umm . Yeah okay , so could I get <refexp id='reid.4'>that</refexp> and an order -
Spoken2	Clerk	Okay , sorry , you said -
Spoken2	User	of bread sticks ...
Spoken2	Clerk	- oops , sorry you said small ... pizza , right ?
Spoken2	User	Yes , yeah . Small -
Spoken2	Clerk	Okay , so small vegan , gotcha .
Spoken2	User	- small vegan . Mhmm . Umm .
Spoken2	Clerk	Okay -
Spoken2	User	So tha ...
Spoken2	Clerk	- and an order of break sticks ?
Spoken2	User	Order of break sticks and a root beer please .
Spoken2	Clerk	Okay , and a root beer . Okay . Anything else ?
Spoken2	User	That 's it for today , thank you .
Spoken2	Clerk	Okay , just give me one quick second . Mmm . Uhh . Eighteen . Alright , so that 's going to come out to twenty eight fifty . What was your name ?
Spoken2	User	Uhh is Jane Doe . Umm
Spoken2	Clerk	Okay . Jane Doe . Uhh were you looking for <modality> delivery </modality> or were you going to come and pick <refexp id='reid.5'>it</refexp> up ?
Spoken2	User	Uh I 'll <modality> pick up </modality> . Yeah . About how long will it take ?
Spoken2	Clerk	Okay , sounds good . Umm . It 's going to be about . Mmm . Thirty five minutes now , give or take .
Spoken2	User	Alright , that sounds good . Thank you so much .
Spoken2	Clerk	Alright .
Spoken2	User	Have a nice day .
Spoken2	Clerk	Alright , no problem . See you soon .
Spoken3	Clerk	Hi , this is generic pizza place . Uhh . What can I get you ?
Spoken3	User	Hi , umm . Yeah , I 've got a a a bit of a complicated order today . Umm . Could I get a uh <quant> three </quant> <size> large </size> pizzas . Umm , one -
Spoken3	Clerk	Okay .
Spoken3	User	Uh . A uh a <pizza_type> meat lovers </pizza_type> , regular crust . Uh <refexp id='reid.6'>one</refexp> that 's <ref id='reid.8'><topping> ham </topping></ref> , <topping> pineapple </topping> , and <topping> provolone </topping> with a <crust> regular </crust> crust . Uh , one that 's uh just mozzarella with a <crust> glu- gluten free </crust> crust ? Umm . And then could I get ten drinks . So <refexp id='reid.7'>four of them</refexp> uh sodas , so two root beer and <quant> two </quant> co- colas . Uh and then , six mineral waters . Umm . Six sides . Four that are cheese sticks and <quant> two </quant> that are green salads . And -
Spoken3	Clerk	Okay , hold on one second here .
Spoken3	User	-uh uh .
Spoken3	Clerk	Um , so you got four sodas , <quant> two </quant> root beer , <quant> two </quant> <beverage> cola </beverage> , and then , what . What was next , sorry ?
Spoken3	User	Oh yeah , six mineral waters .
Spoken3	Clerk	Okay , six mineral waters , thank you .
Spoken3	User	Mhmm . Umm , and then , nine desserts , uhh . Whatever combination cur- you currently have of cakes , sort of three of each of your kinds . Umm . And actually , could you add <topping> olives </topping> to <refexp id='reid.8'>the <topping> ham </topping> pizza</refexp> as well ?
