Conversation	Speaker	Transcript
Spoken1	User	Hello .
Spoken1	Clerk	Hello this is Domino 's Pizza . How may I take your order ?
Spoken1	User	Um , hi . I just want to get a , a <ref id='brown.0'> <size> large </size> pizza </ref> please .
Spoken1	Clerk	Um , okay . What would you like on <refexp id='brown.0'>that</refexp> ? Just <pizza_type> cheese </pizza_type> pizza , or ...
Spoken1	User	Uh , no , I want a Hawaiian pizza , please .
Spoken1	Clerk	Hawaiian pizza . I actually do n't really recommend our Hawaiian pizzas , but that ’ s okay .
Spoken1	User	Oh , why not ?
Spoken1	Clerk	Because pineapple should n't be on pizza .
Spoken1	User	Oh , well , I 'm a little offended that you 're insulting my pizza topping choices .
Spoken1	Clerk	I ’ m sorry , okay , I 'll get you a <size> large </size> <pizza_type> pineapple </pizza_type> pizza .
Spoken1	User	Well , I asked for Hawaiian . Hawaiian comes with <topping> pineapple </topping> and <topping> ham </topping> .
Spoken1	Clerk	Okay . That 's right . I 'm sorry . Yeah , yeah , okay , a <ref id='brown.1'><topping> pineapple </topping> and <topping> ham </topping> pizza </ref>, aka a Hawaiian pizza .
Spoken1	User	Mhm .
Spoken1	Clerk	Would you like soda with <refexp id='brown.0'>that</refexp> , or breadsticks or ...
Spoken1	User	No , I 'll just , just the pizza, please .
Spoken1	Clerk	Just the pizza . Okay , awesome . <refexp id='brown.0'> That </refexp> will be $ 25.91 .
Spoken1	User	So expensive .
Spoken1	Clerk	Yeah , <refexp id='brown.0'> it 's </refexp> , <refexp id='brown.0'>it 's </refexp> , this is not the most cheapest place . But , you know , pineapple on pizza costs a little bit extra .
Spoken1	User	Okay , maybe next time I 'll just buy my own <ref id='brown.1'> <topping> pineapple </topping> </ref> at home , put <refexp id='brown.1'> it </ref> on .
Spoken1	Clerk	Yeah , that might be something that you do at home , in secret .
Spoken1	Clerk	Yeah , so is <refexp id='brown.0'> this </refexp> a <modality> delivery </modality> order , is <refexp id='brown.0'> this </refexp> pickup order ?
Spoken1	User	I 'll pick <refexp id='brown.0'>it </refexp> up .
Spoken1	Clerk	Okay , and then as for payment . We can either accept payment now , or you can pay at the location .
Spoken1	User	I 'll pay when I <modality> pick up </modality> .
Spoken1	Clerk	Okay . Sounds good .
Spoken1	User	Okay .
Spoken1	Clerk	Can I get a name for the order ?
Spoken1	User	Jennifer .
Spoken1	Clerk	Jennifer . Okay . Jennifer , we will see you -- the pizza will be ready in <ref id='brown.2'> around <time> 20 minutes </time> </ref>
Spoken1	User	Okay , thanks . I 'll , I 'll see you <refexp id='brown.2'> then </refexp>.
Spoken1	Clerk	Okay , goodbye .
Spoken2	User	Hello ?
Spoken2	Clerk	Hi , <refexp id='brown.3'> this </refexp> is <ref id='brown.3'> Domino 's Pizza </ref> . How may I take your order ?
Spoken2	User	Hi , I 'm gon na want <quant> three </quant> <size> large </size> pizzas and they 're all going to have different toppings .
Spoken2	Clerk	Okay .
Spoken2	User	So I 'm going to tell you <ref id='brown.4'> all the toppings </ref> are now .
Spoken2	Clerk	Okay .
Spoken2	User	Um , so <refexp id='brown.5'> the first one </refexp> is going to be <ref id='brown.5'> a pizza </ref> with just meat on <refexp id='brown.5'> it </refexp> . So , <topping> sausage </topping> , <topping> pepperoni </topping> and <topping> ham </topping> . <refexp id='brown.6'> The next one </refexp> I want <ref id='brown.7'> all veggies </ref>. So , <topping> mushrooms </topping> , <topping> onions </topping> , green pepper . And then <refexp id='brown.7'> the third one </refexp> I want to be <ref id='brown.7'> half just plain cheese and then half <pizza_type> pepperoni </pizza_type> </ref> .
Spoken2	Clerk	Okay .
Spoken2	User	You have all <refexp id='brown.4'> that <refexp id='brown.8'> ?
Spoken2	Clerk	Yeah , so I have a ... <ref id='brown.12'> <quant> three </quant> <size> large </size> pizzas </ref>, one meat pizza with <topping> sausage </topping> and <topping> pepperoni </topping> --
Spoken2	User	No , <topping> sausage </topping> , <topping> pepperoni </topping> and <topping> ham </topping> .
Spoken2	Clerk	Okay , sorry , I missed the <topping> ham </topping> . Okay .
Spoken2	User	That ’ s okay
Spoken2	Clerk	Ok so large meat pizza with <topping> sausage </topping> , <topping> pepperoni </topping> , and <topping> ham </topping> . I have <ref id='brown.9'> a veggie pizza </ref> and sorry , I did n't get what was on <ref id='brown.9'> that </ref>.
Spoken2	User	At all ?
Spoken2	Clerk	Yeah , sorry . There was a lot of pizzas going around .
Spoken2	User	That 's fine , the veggie pizza had <topping> mushrooms </topping> , <topping> onions </topping> , and <topping> green pepper </topping> .
Spoken2	Clerk	Okay , gotcha . Mushrooms , <topping> onions </topping> , and <topping> green pepper </topping> on <ref id='brown.10'> the veggie pizza </ref> . And <refexp id='brown.10'> that </refexp> 's also a <size> large </size> , right ?
Spoken2	User	Yes .
Spoken2	Clerk	Okay . And then <ref id='brown.11'> the last pizza </ref> was half <pizza_type> cheese </pizza_type> and half <pizza_type> pepperoni </pizza_type> .
Spoken2	User	Yes .  That ’ s true .
Spoken2	Clerk	<refexp id='brown.11'> That </refexp> 's also a <size> large </size>
Spoken2	User	Mm hmm .
Spoken2	Clerk	Okay , awesome .
Spoken2	User	Mm hmm . Yeah .
Spoken2	Clerk	Along with <refexp id='brown.12'> that </refexp> , is there -- would you like -- is <refexp id='brown.12'> that </refexp> all , for the pizzas ?
Spoken2	User	Yeah , <refexp id='brown.12'> that </refexp> 'll be all and I would like <refexp id='brown.12'> that </refexp> delivered to me , please , at <address> 123 street lane </address> .
Spoken2	Clerk	Okay .
Spoken2	User	As soon as possible , please , because I 'm having a party and I forgot to order the pizza until now , so ...
Spoken2	Clerk	Oh , wow .
Spoken2	User	Yeah , please get on <refexp id='brown.12'> that </refexp> .
Spoken2	Clerk	Yeah , we 'll try and get <refexp id='brown.12'> that </refexp> to you soon as we can .
Spoken2	User	Thank you .
Spoken2	Clerk	Yeah . So as for payment . Would you like to pay now , over the phone , or would you like to pay when the deliverer arrives ?
Spoken2	User	Yeah , I 'll pay now over the phone . So my card type is --
Spoken2	Clerk	Can I get a card number ?
Spoken2	User	Uh , sure , <ref id='brown.13'> my card numbe </ref> is <numeric> 12345 </numeric> .
Spoken2	Clerk	Okay , 12345 .
Spoken2	User	And --
Spoken2	Clerk	Awesome .
Spoken2	User	<ref id='brown.13'> It </ref> ’ s <ref id='brown.14'> expiration date </ref> is the end of the year .
Spoken2	Clerk	Okay , that 's pretty , <ref id='brown.15'> that </ref> 's pretty soon .
Spoken2	User	Mm hmm . Yeah .
Spoken2	Clerk	Okay , awesome .
Spoken2	User	Okay , thanks .
Spoken2	Clerk	We will get <ref id='brown.12'> that </ref> to you in <time> 30 minutes </time> . Sorry for the wait .
Spoken2	User	Okay , as soon as possible . If you can do it faster , I might tip your delivery driver , but you did n't hear it from me .
Spoken2	Clerk	Okay deal . Okay . Goodbye .
Spoken2	User	Alright , thank you . Goodbye .
Spoken3	User	Hello .
Spoken3	Clerk	Hello <refexp id='brown.15'> this </refexp> is <ref id='brown.15'> Domino 's Pizza </ref> . How may I help you ?
Spoken3	User	Um , I 'd like ... Well , first of all , what are your , what are your different pizza sizes ?
Spoken3	Clerk	So we have mini , which is kind of a personal size pizza . We have medium and large where large probably feeds around four people ...
Spoken3	User	I ’ ll take the --
Spoken3	Clerk	or five people --
Spoken3	User	um , it ’ s , that 's fine . I 'll take . Okay , I 'll take <ref id='brown.16'> the medium pizza </ref> please ? And I 'd like <refexp id='brown.16'> two of them </refexp> . Is that , is that possible ? Can I get <quant> two </quant> pizzas in one order ?
Spoken3	Clerk	Yes , you can get <ref id='brown.17'> <quant> two </quant> pizzas </ref> . You can even get <quant> three </quant>
Spoken3	User	No thank you . Just , just two .
Spoken3	Clerk	Is <refexp id='brown.17'> it </refexp> for the big game tonight ?
Spoken3	User	Um , I do n't , I do n't watch sports .
Spoken3	Clerk	Oh , sorry .
Spoken3	User	That 's , that 's fine .
Spoken3	Clerk	So , <quant> two </quant> <size> medium </size> pizzas . What toppings ?
Spoken3	User	What toppings do you have ?
Spoken3	Clerk	We have <topping> pepperoni </topping> . We have <topping> sausage </topping> . We have any kind of veggies , like <topping> mushrooms </topping> --
Spoken3	User	I ’ ll have , I ’ ll have just <topping> sausage </topping> , <topping> sausage </topping> .
Spoken3	Clerk	Sausage , okay , So on both of them ?
Spoken3	User	Um , can I have a quarter of <ref id='brown.17'> the pizza </ref> have <topping> sausage </topping> on both ?
Spoken3	Clerk	So we actually only do half , you can only split <refexp id='brown.17'> it </refexp> by half . Sorry .
Spoken3	User	Okay . That 's , yeah , that 's fine . I 'll just do half on one .
Spoken3	Clerk	Half sausage on one --
Spoken3	User	Which seems equivalent to a quarter on both , so <refexp id='brown.17'> that </refexp> ’ s perfect . Thanks for <refexp id='brown.17'> that </refexp> option .
Spoken3	Clerk	Sorry , we , we only do , yeah , sorry , half on the single pizza . Sorry about that .
Spoken3	User	That ’ s fine .
Spoken3	Clerk	That 's , um , so half <topping> sausage </topping> on one . How about for <ref id='brown.18'> the other three halves </ref> ?
Spoken3	User	Oh , let 's see . I think , just , just cheese for <refexp id='brown.18'> all of them <refexp id='brown.18'> except , I want , except -- Okay , so just cheese on the other half from the <topping> sausage </topping> one and then on the other pizza , half <pizza_type> cheese </pizza_type> again . But then the other half -- <ref id='brown.19'> No cheese </ref> , can I have <refexp id='brown.17'> that </refexp> ? Just tomato sauce ?
Spoken3	Clerk	So you just want <ref id='brown.20'> tomato sauce </ref> ?
Spoken3	User	Yeah , is <refexp id='brown.20'> that </refexp> okay ?
Spoken3	Clerk	Yeah , I guess .
Spoken3	User	Okay .
Spoken3	Clerk	I guess <refexp id='brown.20'> that </refexp> ’ s okay .
Spoken3	User	Okay , great , can you , can you read me back what my order is ? I forget .
Spoken3	Clerk	So I have <ref id='brown.21'>  <quant> two </quant> <size> medium </size> pizzas </ref> , one half is <topping> sausage </topping> one half is cheese for one of <refexp id='brown.21'> them </refexp> .
Spoken3	User	Mhmm .
Spoken3	Clerk	I have <ref id='brown.22'> another medium pizza </ref> that is one half <pizza_type> cheese </pizza_type> , one half just sauce , no <topping> cheese </topping> .
Spoken3	User	Yeah , <refexp id='brown.22'> that </refexp> sounds perfect , <refexp id='brown.22'> that </refexp> 's great .
Spoken3	Clerk	Okay .
Spoken3	User	How do I , how do I get <ref id='brown.23'> the pizza </ref> ?
Spoken3	Clerk	So we can do -- two ways , we can either , you can either pick <refexp id='brown.23'> it </refexp> up at 123456 lane or we can deliver <refexp id='brown.23'> it </refexp> to your location .
Spoken3	User	Um , delivering <refexp id='brown.23'> it </refexp> sounds good . Can I have that ?
Spoken3	Clerk	Can I get some payment information ?
Spoken3	User	Sure . My card is number is <ref id='brown.24'> <numeric> 123456789 </numeric> </ref>
Spoken3	Clerk	Okay , and is <refexp id='brown.24'> it </refexp> <refexp id='brown.24'> that </refexp> visa ?
Spoken3	User	No , <refexp id='brown.24'> it </refexp> 's , <refexp id='brown.24'> it </refexp> 's just my card .
Spoken3	Clerk	Okay , just your card . Yep . Gotcha .
Spoken3	User	The type that I use , you know .
Spoken3	Clerk	Oh , gotcha . Okay , I 'll plug <refexp id='brown.24'> that </refexp> --
Spoken3	User	Sorry , could you , could you read my card info back to me . Just make sure you got everything ?
Spoken3	Clerk	<ref id='brown.25'> <numeric> 123456789 </numeric> </ref>
