Conversation	Speaker	Transcript
Spoken 1	Clerk	Tony 's Pizza . How can I help you ?
Spoken 1	User	Hi , I 'd like to order pizza today .
Spoken 1	Clerk	You want a pizza ? What kind of pizza would you like ?
Spoken 1	User	Can I have the Hawaiian pizza please ?
Spoken 1	Clerk	<ref id='drizin.0'> The Hawaiian pizza </ref> , <refexp id='drizin.0'> that </refexp> comes with <topping> pineapple ham </topping> mozzarella . Um , What size would you like <refexp id='drizin.0'> that </refexp> ?
Spoken 1	User	Um , how many people does the <size> large </size> serve ?
Spoken 1	Clerk	Um so large is <numeric> 14 </numeric> inches . So , I mean , if you cut them up real thin , you could probably get like up to 20 people . But we usually say around like anywhere from  <ref id='drizin.1'> <address> eight to 10 people </address> </ref>
Spoken 1	User	Okay , <refexp id='drizin.1'> that </refexp> 's perfect . Thank you . And how much does <refexp id='drizin.0'> that one </refexp> cost ?
Spoken 1	Clerk	<refexp id='drizin.0'> That one </refexp> ... Um , it depends on the cross thinness . Um , so like if you just want like <ref id='drizin.2'> a plain pizza </ref> , <refexp id='drizin.2'> it </refexp> 's fourteen dollars um but if you were to get <ref id='drizin.3'> deep dish or gluten free </ref> <refexp id='drizin.4'> that </refexp> 's sixteen or twenty-one respectively .
Spoken 1	User	Okay , can I get the <crust> regular </crust> please ?
Spoken 1	Clerk	Alright r-regular , large Hawaiian pizza . Did you want any additional toppings ?
Spoken 1	User	Um , no , thank you .
Spoken 1	Clerk	Alright . Any sides or drinks .
Spoken 1	User	Um I think the <side> breadsticks </side>
Spoken 1	Clerk	Breadsticks . All right , cool . Um and uh did you want to pick up <ref id='drizin.5'> the pizza </ref> , or , uh have <refexp id='drizin.5'> it </refexp> delivered ?
Spoken 1	User	Um can I have <refexp id='drizin.5'> it </refexp> delivered , please ?
Spoken 1	Clerk	Sure , there 's <ref id='drizin.6'> a <quant> three </quant> <beverage> dollar </beverage> <modality> delivery </modality> fee </ref> . Is <refexp id='drizin.6'> that </refexp> okay ?
Spoken 1	User	Yes . Also , just wondering how much did the breadsticks cost ?
Spoken 1	Clerk	Uh breadsticks were seven dollars .
Spoken 1	User	Okay , thank you .
Spoken 1	Clerk	Alright , Um , do you want to pay over the phone or do you want to pay your delivery person ?
Spoken 1	User	I can pay over the phone .
Spoken 1	Clerk	Great ! Okay Just give me one second .
Spoken 1	Clerk	Okay , I just need <ref id='drizin.7'> the type of card </ref> like Mastercard , Visa whatever um , or whatever <refexp id='drizin.7'> it </refexp> is . Um , And then the name on the card .
Spoken 1	User	Okay , the card type is mycard and the name is Hannah Smith .
Spoken 1	Clerk	Cool , and then they just give me <ref id='drizin.8'> the numbers </ref> . I 'll put <refexp id='drizin.8'> those </refexp> in
Spoken 1	User	The card number is one-two-three-four-five and the expiration is end of the year .
Spoken 1	Clerk	Great alright um lem me just put  that through . Hold on .
Spoken 1	Clerk	Alright , It went through , um , there 'll be receipt taped to your box that will have your receipt and everything . And do n't forget to tip your driver .
Spoken 1	User	Okay , I 'll send you <ref id='drizin.9'> my address </ref>
Spoken 1	Clerk	Yes , yes , we would um , gim me a second while i get a pen , and I can write <refexp id='drizin.9'> that </refexp> down .
Spoken 1	User	Okay
Spoken 1	Clerk	Okay . Yeah , uh well can I get your name first actually ?
Spoken 1	User	Yes . Hannah Smith .
Spoken 1	Clerk	Okay .
Spoken 1	Clerk	And your address .
Spoken 1	User	Um 123 Elm Street .
Spoken 1	Clerk	Alright , um That should be there in about <time> 25 minutes </time>
Spoken 1	User	All right . Thank you .
Spoken 1	Clerk	Great no problem . Have a good day .
Spoken 1	User	You too .
Spoken 1	Clerk	Bye .
Spoken 2	Clerk	Tony 's Pizza .
