Intent	Sentence
GREET	ring ring
MAKE_PIZZA	hello , i 'll have a <pizza_type> hawaiian </pizza_type>
REQUEST	okay , i think , i think i had <quant> two </quant> <pizza_type> pepperoni </pizza_type> as well . so i 'm gon na need more . what 's your favorite pizza here ?
ADD_MODALITY	<modality> pick up </modality> will be great
CONFIRM	amazing , perfect
ADD_PERSONAL	the name is <name> mr man </name>
INFORM	actually yeah a <size> small </size> <beverage> sprite </beverage>
ADD_PERSONAL	address is <numeric> 17484 </numeric> <name> ave </name>
INFORM	i 'll be there in <time> fifteen minutes </time>
CONFIRM	yes , yes . sorry for the confusion , my phone ’ s been acting up . that was for <modality> delivery </modality> .
ORDER_PREFERRED	may i place another order for my preferred pizza , please
GREET	hello ,
ADD_PAYMENT_ATTRIBUTE	card : <address> 12345 type : mycard </address>
THANK	thank you , thank you . talk to you soon .
MAKE_PIZZA	mmm i do n't really like black <topping> olives </topping> can i have a <pizza_type> veggie supreme </pizza_type> without black <topping> olives </topping>
ADD_PAYMENT_ATTRIBUTE	and then expiration date is <numeric> zero one </numeric> <quant> one three </quant>
ADD_MODALITY	<modality> pickup </modality> , but can i schedule it for an hour from now ?
ADD_MODALITY	yep , let 's go with <modality> delivery </modality> , please
ADD_MODALITY	how about <modality> take out </modality>
ADD_PAYMENT_ATTRIBUTE	yes , the number is <numeric> 670 </numeric> , the expiration date <numeric> 12/12 </numeric> , card security code is <numeric> 567 </numeric> , zip code on that is <numeric> 19283 </numeric> , and the name on that is <name> jennifer </name>
REQUEST_LISTING	oh i was wondering if you had anything to drink
MAKE_PIZZA	i need a <size> 12 inch </size> <pizza_type> 4 cheese </pizza_type> , please
ADD_MODALITY	i.ll just get the pizza , sorry . i want that for , uh , pickup .
CHECK_ORDER_STATUS	how long until my pizza order gets delivered ?
GREET	hi ,
MAKE_PIZZA	okay , how about a vegan no veggies but with <topping> pineapple </topping> , can we do that ?
MAKE_PIZZA	may i order a <size> medium </size> <pizza_type> supreme </pizza_type> on <crust> regular </crust> , please
DENY	no
DENY	just the 'za !
REQUEST_COST_OF	oh , sure - how much is that ?
THANK	okay thank you . alright , um , think that.s it
DENY	nope , that ’ s it .
REQUEST_COST_OF	uh is there a price difference
CONFIRM	yes bye
ADD_PERSONAL	it 's <name> kyle </name>
ADD_PERSONAL	yes , it 's <name> jennifer florence </name>
THANK	thanks !
START_ORDERING	hello , i 'd like to place an order
ADD_MODALITY	for <modality> delivery </modality> !
UNDEFINED	actually really think i
MAKE_PIZZA	hello , can i get a <size> medium </size> <pizza_type> hawaiian </pizza_type> ?
REQUEST	do you do any half and half pizzas ?
CONFIRM	okay , i 'll send you my address
START_ORDERING	ah ... i need to order a pizza .
ORDER_PREFERRED	i 'd like to reorder my usual pizza order again
GREET	hey , how 's it going ?
MAKE_PIZZA	can i have the hawaiian pizza please ?
ADD_MODALITY	yes that ’ s right , and for <modality> delivery </modality> . do you have my address ?
UNDEFINED	( clears throat )
ADD_TO_ORDER	um i think the <side> breadsticks </side>
MAKE_PIZZA	second person wants a <pizza_type> veggie supreme </pizza_type> thin crust
