	Conversation	Speaker	Transcript
0	Spoken1	Clerk	Hello , welcome to Domino ’ s . How may I help you ?
1	Spoken1	User	Hi , I ’ ll like to order a pizza please .
2	Spoken1	Clerk	What size do you want and what toppings do you want ?
3	Spoken1	User	Uhh <quant> one </quant> <size> large </size> pizza , uh one half with <topping> mushrooms </topping> and one half with chicken .
4	Spoken1	Clerk	What kind of base would you like ?
5	Spoken1	User	Uhh margarita sauce .
6	Spoken1	Clerk	Okay . Is there anything else that you want ?
7	Spoken1	User	Um no , I am – uhh that is , that is all .
8	Spoken1	Clerk	Okay so will you be picking it up or do you want <modality> delivery </modality> ?
9	Spoken1	User	Uhh delivery .
10	Spoken1	Clerk	Cool , uh where to ?
11	Spoken1	User	Uhh to <address> Street 123 Apartment 7 </address> .
12	Spoken1	Clerk	Cool . That ’ ll be good and I assume you ’ re paying cash ?
13	Spoken1	User	Uhh cash .
14	Spoken1	Clerk	Okay . Uh your pizza will be ready in uh thirty minutes and will take an additional half hour to send it to you , so yeah , you can expect us within an hour . Yeah , thank you .
15	Spoken1	User	Sounds good . Thank you .
16	Spoken1	Clerk	Bye-bye .
17	Spoken2	Clerk	Welcome to Domino ’ s . How can I help you today ?
18	Spoken2	User	Hi I ’ ll like to order delivery please .
19	Spoken2	Clerk	Okay , sure . Where , what kind of stuff do you want to be delivered ?
20	Spoken2	User	Uh can I have <quant> one </quant> <size> small </size> pizza , <quant> one </quant> <size> medium </size> pizza , and <quant> one </quant> <size> large </size> pizza , and I would like uh only chicken on the small pizza and then I want chicken , mushroom , and <topping> tomato sauce </topping> on the medium pizza , and then I want uh alfredo sauce on the third pizza but um only add black <topping> olives </topping> and um <topping> ham </topping> on it , but no chicken .
21	Spoken2	Clerk	I see . Um , would you like uh that sounds good . Did you mention you want alfredo sauce on the medium pizza ?
22	Spoken2	User	Uh that ’ s , that ’ s right , yeah .
23	Spoken2	Clerk	Okay , so what kind of sauce do you want on the other pizzas ?
24	Spoken2	User	Uh , uh , for the other two , I ’ ll have margarita sauce , and make sure that all this information is correct cause my family has a lot of allergies , please .
25	Spoken2	Clerk	Okay .
26	Spoken2	User	Mm-hmm .
27	Spoken2	Clerk	Okay , yeah , that ’ s fine . Let me just uh so for the two others they ’ re both margarita sauce .
28	Spoken2	User	Mm-hmm , yeah .
29	Spoken2	Clerk	Is there any else , any other things that we should not put on the pizza that we might usually put otherwise ?
30	Spoken2	User	Uhh , um just uh make sure to uh not put too much cheese either .
31	Spoken2	Clerk	Okay . I assume someone ’ s lactose intolerant ?
32	Spoken2	User	Yup . Mm-hmm .
33	Spoken2	Clerk	Okay . In that case , um do you want us to put on a different variant of cheese ? We have a new form of cheese that is based on vegetables that doesn ’ t really have lactose in it .
34	Spoken2	User	Oh , that sounds –
35	Spoken2	Clerk	You can try –
36	Spoken2	User	That sounds really good . Thanks for the offer .
37	Spoken2	Clerk	Okay , um , how about drinks ?
38	Spoken2	User	Just some bottled water . Um , yeah , just some bottled water .
39	Spoken2	Clerk	Okay , should I , should it be chilled or just room temperature ?
40	Spoken2	User	Can you make sure it is umm a bit on the chilled side ?
41	Spoken2	Clerk	Okay sure .
42	Spoken2	User	And only water from that specific water brand .
43	Spoken2	Clerk	Ahh I see I see . Yeah , we do carry that , that brand , brand X , yeah it has water from a specific location , yeah I ’ ll do that .
44	Spoken2	User	Yeah , that one .
45	Spoken2	Clerk	Yeah . Okay , yeah . Thank you and –
46	Spoken2	User	Thank you so much .
47	Spoken2	Clerk	And um , before I finish , what ’ s your address ?
48	Spoken2	User	Mm-hmm , I live on <address> Street 123 at Apartment 7 </address> .
49	Spoken2	Clerk	Cool , um see you in an hour and half .
50	Spoken2	User	Mm-hmm .
51	Spoken2	Clerk	Bye-bye .
52	Spoken2	User	Bye !
53	Spoken3	Clerk	Hey this is Domino ’ s , what kind of pizza can we get you ?
54	Spoken3	User	Umm uhh uhh so can I please have a , a <size> large </size> pizza please ?
55	Spoken3	Clerk	Okay , just typical meatball pizza ?
56	Spoken3	User	Uhh no umm actually uh can I have umm some <pizza_type> pepperoni </pizza_type> on it with some uh <topping> black olives </topping> and um some <topping> ham </topping> ?
57	Spoken3	Clerk	That ’ s , that ’ s a weird combination .
58	Spoken3	User	Yeah .
59	Spoken3	Clerk	You know meatball is our signature dish ? Why don ’ t you try meatball instead ?
60	Spoken3	User	Uh , yeah , sure ! I guess I ’ ll go with that then .
61	Spoken3	Clerk	Okay , meatball pizza . I ’ m assuming it ’ s a <size> large </size> pizza ?
62	Spoken3	User	Uh yeah , large pizza .
63	Spoken3	Clerk	Okay , cool . People who order this pizza usually go with , like , a <size> large </size> <pizza_type> bottle </pizza_type> of Coke and some fries . Should I add that to your bill ?
64	Spoken3	User	Uh yeah that sounds great .
65	Spoken3	Clerk	How about dessert ?
66	Spoken3	User	Uhh , I , um , no , no dessert .
67	Spoken3	Clerk	Okay . You sure you don ’ t want any ? Like we have our signature brownies that just fresh out of the oven .
68	Spoken3	User	Well , I guess uh <quant> two </quant> brownies would sound good .
69	Spoken3	Clerk	Okay .
70	Spoken3	User	Mm-hmm .
71	Spoken3	Clerk	Nahh , you , you , for this kind of stuff , you probably need , like , ten brownies .
72	Spoken3	User	You know what , you ’ re right , yeah ten brownies .
73	Spoken3	Clerk	Okay , okay .
74	Spoken3	User	Mm-hmm .
75	Spoken3	Clerk	Yeah , that ’ ll be – so you ’ re ordering delivery ?
76	Spoken3	User	Uh , yes , <modality> delivery </modality> to <address> Street 123 Apartment 7 </address> .
77	Spoken3	Clerk	Okay . Yeah , sure . Is two hours too long to wait ?
78	Spoken3	User	Uh , no , that ’ s perfectly fine .
79	Spoken3	Clerk	Okay .
80	Spoken3	User	I ’ m not hungry or anything .
81	Spoken3	Clerk	Okay , yeah , great . Yeah . Okay . Cool .
82	Spoken3	User	Mm-hmm .
83	Spoken3	Clerk	Thank you , bye !
84	Spoken3	User	Mm-hmm .
85	Spoken4	Clerk	Hi this is Domino ’ s . What would you like ?
86	Spoken4	User	Just like , uh you know , a regular pizza . You know , those with the good ol meatballs .
87	Spoken4	Clerk	Okay , um , would that be all ?
88	Spoken4	User	Uh , what else do you have to go with it ? I mean , I can ’ t just eat pizza , right ? That-that-those things are dry .
89	Spoken4	Clerk	Yeah , that ’ s—that ’ s true . Uh sorry , sir , please hold on . Um you can also order some fries with it , we have um a special discount on <size> large </size> fries today .
90	Spoken4	User	Uhh
91	Spoken4	Clerk	If that sounds alright with you ?
92	Spoken4	User	Um fries , um I don ’ t think that ’ s a good idea . Maybe can I have salad ?
93	Spoken4	Clerk	Uh , yes , of course . Um would you like a <size> large </size> or small salad ?
94	Spoken4	User	Uhh I ’ m really feeling-feeling like a <size> medium </size> salad , but uhh maybe a <size> large </size> salad will go fine .
95	Spoken4	Clerk	That sounds good , sir .
96	Spoken4	User	Yeah .
97	Spoken4	Clerk	Um would you like any drinks with that ?
98	Spoken4	User	Um wait , I-I think you haven ’ t asked me what I want – what I want with my salad , right ?
99	Spoken4	Clerk	Uh , yes , uh , sorry—
100	Spoken4	User	Kind of rude , you know ?
101	Spoken4	Clerk	Yeah . I apologize , sir . What would you like with your salad ?
102	Spoken4	User	Um , I will just like some um thousand island sauce , and maybe some croutons .
103	Spoken4	Clerk	Mm-hmm . Anything else ?
104	Spoken4	User	Maybe double the serving of croutons .
105	Spoken4	Clerk	We can do that for you , sir .
106	Spoken4	User	Okay , cool . Can you guys arrive in half an hour ?
107	Spoken4	Clerk	Uh , at best we- I ’ m afraid we can only do uh 45 minutes . Would that be alright ?
108	Spoken4	User	Eh I ’ m feeling really hungry right now . Can you just ask your-your delivery men to-to hurry up ?
109	Spoken4	Clerk	Uh yes , we – we can – I can see what I can do . Mm-hmm . Where is your address ?
110	Spoken4	User	Uh I ’ m living at Avenue 123 .
111	Spoken4	Clerk	Mm-hmm . Okay . Uh we will try to get your order to you as quick as possible . Thank you for ordering .
112	Spoken4	User	Yeah , see you in a bit .
113	Spoken4	Clerk	Mm-hmm .
114	Spoken5	Clerk	Welcome to Domino ’ s . How can I help you ?
115	Spoken5	User	Uh I want-I want pizza really fast , uh just the standard pizza , no-no frills , just <topping> pepperoni </topping> , um yeah maybe a bottle of Coke , that ’ s about it .
116	Spoken5	Clerk	That sounds very good , sir , but have I told you about our special one-time only , only today offer , that if you order <quant> one </quant> <size> large </size> pizza , you can get <quant> one </quant> <size> more large </size> pizza for free ?
117	Spoken5	User	Eh , it ’ s fine , I-I-I don ’ t need that , I just need the pizza delivered to me really fast .
118	Spoken5	Clerk	Uh-
119	Spoken5	User	I got a lot to do .
120	Spoken5	Clerk	I understand that , sir . Uhh would you like any sides ? We have fries um they just came off hot from the fryer and uh we can to you – um with that – your – with your pizza with <quant> no </quant> extra cost at all !
121	Spoken5	User	Um , no I don ’ t need that . I think it ’ ll just take more time . Um could you just deliver to me my pizza as soon as possible ?
122	Spoken5	Clerk	Mm-hmm , mm-hmm , that sounds good , sir . Um would you like um anything else with your pizza ?
123	Spoken5	User	Not really , that ’ s fine .
124	Spoken5	Clerk	Mm-hmm .
125	Spoken5	User	Yeah .
126	Spoken5	Clerk	Mm-hmm , mm-hmm .
127	Spoken5	User	I just need-need it really fast .
128	Spoken5	Clerk	Okay .
129	Spoken5	User	Because I ’ ll be leaving my house in an hour , so I-I need to finish that before I go .
130	Spoken5	Clerk	Mm-hmm , mm-hmm , mm-hmm , I totally hear you . But did you know if you add another topping , you can get a discount on that ?
131	Spoken5	User	That ’ s fine , it ’ s fine . Yeah , I-I-I , yeah , I don ’ t need an additional topping , that ’ s fine , yeah .
132	Spoken5	Clerk	Okay , then . Uh what is your name and address ?
133	Spoken5	User	Uh John Doe , uh Avenue 123 .
134	Spoken5	Clerk	Okay , um , I ’ ll see how um if I can get to your piz – get your pizza to you as quick as possible then .
135	Spoken5	User	Yeah , sure , thank you .
136	Spoken5	Clerk	Mm-hmm .
137	Spoken6	Clerk	Welcome to Domino ’ s . How can I help you ?
138	Spoken6	User	Uh , I have – I saw – I saw the flyer that you have this really great dough for $ 5.99 for <quant> two </quant> <size> large </size> pizzas . Is that true ?
139	Spoken6	Clerk	That is true .
140	Spoken6	User	Okay !
141	Spoken6	Clerk	But you ’ re going to have to wait a little extra for that , if you wan na use this dough ‘ cause we just ran out and we ’ re going to have to bake a fresh batch and that could take a little extra time , if that ’ s alright with you , sir .
142	Spoken6	User	Yeah , that-that ’ s alright .
143	Spoken6	Clerk	Mm-hmm .
144	Spoken6	User	Um is there any restrictions on the toppings I can have ?
145	Spoken6	Clerk	Uhh you can order up to <quant> three </quant> um with no extra cost but every one after has one dollar more .
146	Spoken6	User	Okay , so I would like some <pizza_type> pepperoni </pizza_type> , some peppers , and maybe some chicken bites .
147	Spoken6	Clerk	Oh I ’ m sorry , sir , but we ’ re actually out of chicken bites . Can I offer you um our alt-alternatives , the salami ?
148	Spoken6	User	Uh yeah sure that goes well as well .
149	Spoken6	Clerk	Mm-hmm .
150	Spoken6	User	Are there any discounts you have besides ?
151	Spoken6	Clerk	I can check right now . Um I see that we have a discount on <size> large </size> fries .
152	Spoken6	User	Uh what kind of seasoning do you go with it ? Like the —
153	Spoken6	Clerk	Uh , uh I ’ m afraid that we ’ ve actually ran out on most of our seasonings . Right now we have only cayenne pepper as available option for you , sir .
154	Spoken6	User	Well I don ’ t really like cayenne pepper but since it ’ s so cheap , I ’ ll just take it . Um .
155	Spoken6	Clerk	Mm-hmm .
156	Spoken6	User	Any other things on discount ? Just on a really tight budget , you know ?
157	Spoken6	Clerk	Uh-huh , yeah , I totally understand , sir . Um let ’ s see , for a <size> small </size> <pizza_type> salad </pizza_type> , you-you can get it at half price right now , but uh I have to warn you that we ’ re also out of croutons right now and the only sauce available is ranch . It ’ s the end of the week , you understand , we ’ re-we kind of ran out of ingredients . Mm-hmm .
158	Spoken6	User	Okay . Um , yeah , it ’ s fine . Yeah I ’ m-I ’ m fine with ranch sauce . I ’ ll take it . Yeah .
159	Spoken6	Clerk	Mm-hmm .
160	Spoken6	User	And uh for <modality> delivery </modality> , um is-is it-is it free ?
161	Spoken6	Clerk	Uh it is free if you live within five kilometers of this restaurant .
162	Spoken6	User	So I live at Avenue 123 , could you help me to check if it ’ s um –
163	Spoken6	Clerk	Mm-hmm , I can check for you right now .
164	Spoken6	User	Yeah .
165	Spoken6	Clerk	Mm-hmm . You ’ re in luck sir , you are conveniently right at 4km .
166	Spoken6	User	Okay , um , I think the last thing I want to go with my meal is some drinks . Um what is the cheapest option you have ?
